phase,agent,agent_start,agent_end,agent_elapsed_sec,episodes_total,train_episodes,test_episodes
early,PPO,2025-11-04T09:29:31.896137,2025-11-04T10:59:20.945219,5389.3,14000,4000,10000
early,PPO,2025-11-04T09:29:31.943327,2025-11-04T10:59:23.888163,5392.196,14000,4000,10000
early,PPO,2025-11-04T09:29:31.947269,2025-11-04T10:59:35.443897,5403.749,14000,4000,10000
early,PPO,2025-11-04T09:29:31.942133,2025-11-04T10:59:35.609780,5403.92,14000,4000,10000
early,PPO,2025-11-04T09:29:31.945051,2025-11-04T10:59:46.495202,5414.803,14000,4000,10000
early,PPO,2025-11-04T09:29:31.944540,2025-11-04T10:59:46.569099,5414.877,14000,4000,10000
early,PPO,2025-11-04T10:48:40.237982,2025-11-04T12:18:29.462100,5389.474,14000,4000,10000
early,SAC,2025-11-04T10:59:23.891581,2025-11-04T12:29:01.817791,5378.159,14000,4000,10000
early,SAC,2025-11-04T10:59:20.949667,2025-11-04T12:29:12.497694,5391.782,14000,4000,10000
early,SAC,2025-11-04T10:59:35.447725,2025-11-04T12:29:32.631063,5397.415,14000,4000,10000
early,SAC,2025-11-04T10:59:46.572829,2025-11-04T12:29:39.043629,5392.704,14000,4000,10000
early,SAC,2025-11-04T10:59:35.613031,2025-11-04T12:29:54.233621,5418.854,14000,4000,10000
early,SAC,2025-11-04T10:59:46.499279,2025-11-04T12:30:12.272103,5426.007,14000,4000,10000
early,SAC,2025-11-04T12:18:29.477205,2025-11-04T13:48:22.940378,5393.696,14000,4000,10000
early,TD3,2025-11-04T12:29:12.501218,2025-11-04T13:58:53.685643,5381.426,14000,4000,10000
early,TD3,2025-11-04T12:29:01.824246,2025-11-04T13:58:54.042948,5392.462,14000,4000,10000
early,TD3,2025-11-04T12:29:32.637644,2025-11-04T13:59:13.289721,5380.895,14000,4000,10000
early,TD3,2025-11-04T12:29:39.047797,2025-11-04T13:59:27.657052,5388.851,14000,4000,10000
early,TD3,2025-11-04T12:29:54.237506,2025-11-04T14:00:01.632995,5407.639,14000,4000,10000
early,TD3,2025-11-04T12:30:12.275380,2025-11-04T14:00:44.398883,5432.372,14000,4000,10000
early,TD3,2025-11-04T13:48:22.952184,2025-11-04T15:18:04.353589,5381.693,14000,4000,10000
early,DDPG,2025-11-04T13:58:54.048109,2025-11-04T15:28:24.322351,5370.588,14000,4000,10000
early,DDPG,2025-11-04T13:58:53.689336,2025-11-04T15:28:38.325622,5384.952,14000,4000,10000
early,DDPG,2025-11-04T13:59:27.661826,2025-11-04T15:28:57.253573,5369.906,14000,4000,10000
early,DDPG,2025-11-04T13:59:13.293276,2025-11-04T15:29:05.987029,5393.01,14000,4000,10000
early,DDPG,2025-11-04T14:00:01.647003,2025-11-04T15:30:00.552164,5399.222,14000,4000,10000
early,DDPG,2025-11-04T14:00:44.402466,2025-11-04T15:30:48.255882,5404.168,14000,4000,10000
early,DDPG,2025-11-04T15:18:04.356021,2025-11-04T16:47:45.648110,5381.552,14000,4000,10000
early,A2C,2025-11-04T15:28:24.326199,2025-11-04T16:58:05.059265,5380.98,14000,4000,10000
early,A2C,2025-11-04T15:28:38.328134,2025-11-04T16:58:24.983375,5386.902,14000,4000,10000
early,A2C,2025-11-04T15:28:57.257789,2025-11-04T16:58:30.325501,5373.315,14000,4000,10000
early,A2C,2025-11-04T15:29:05.989893,2025-11-04T16:59:03.925760,5398.182,14000,4000,10000
early,A2C,2025-11-04T15:30:00.555935,2025-11-04T17:00:10.479764,5410.174,14000,4000,10000
early,A2C,2025-11-04T15:30:48.258632,2025-11-04T17:01:03.594107,5415.583,14000,4000,10000
early,A2C,2025-11-04T16:47:45.651291,2025-11-04T18:17:17.488168,5372.131,14000,4000,10000
early,DQN,2025-11-04T16:58:05.062215,2025-11-04T18:27:34.197434,5369.431,14000,4000,10000
early,DQN,2025-11-04T16:58:24.997003,2025-11-04T18:28:06.521780,5381.822,14000,4000,10000
early,DQN,2025-11-04T16:58:30.328488,2025-11-04T18:28:06.996030,5376.964,14000,4000,10000
early,DQN,2025-11-04T16:59:03.928311,2025-11-04T18:28:53.949054,5390.318,14000,4000,10000
early,DQN,2025-11-04T17:00:10.482651,2025-11-04T18:30:17.727104,5407.55,14000,4000,10000
early,DQN,2025-11-04T17:01:03.598634,2025-11-04T18:31:17.317821,5414.024,14000,4000,10000
early,DQN,2025-11-04T18:17:17.491014,2025-11-04T19:46:51.490733,5374.252,14000,4000,10000
early,MADDPG,2025-11-04T18:27:34.201298,2025-11-04T19:56:55.814455,5361.867,14000,4000,10000
early,MADDPG,2025-11-04T18:28:06.999794,2025-11-04T19:57:45.843368,5379.098,14000,4000,10000
early,MADDPG,2025-11-04T18:28:06.531670,2025-11-04T19:57:52.649354,5386.372,14000,4000,10000
early,MADDPG,2025-11-04T18:28:53.952260,2025-11-04T19:58:38.072190,5384.376,14000,4000,10000
early,MADDPG,2025-11-04T18:30:17.730334,2025-11-04T20:00:19.294918,5401.812,14000,4000,10000
early,MADDPG,2025-11-04T18:31:17.322290,2025-11-04T20:01:29.025547,5411.952,14000,4000,10000
early,MADDPG,2025-11-04T19:46:51.493867,2025-11-04T21:16:10.437026,5359.26,14000,4000,10000
