phase,agent,agent_start,agent_end,agent_elapsed_sec,episodes_total,train_episodes,test_episodes
final,PPO,2025-11-05T11:38:28.347486,2025-11-05T14:37:53.903069,10766.188,28000,8000,20000
final,PPO,2025-11-05T11:39:53.466872,2025-11-05T14:39:27.937184,10775.108,28000,8000,20000
final,PPO,2025-11-05T11:40:56.243444,2025-11-05T14:40:37.830165,10782.223,28000,8000,20000
final,PPO,2025-11-05T11:41:27.389284,2025-11-05T14:41:01.751105,10774.997,28000,8000,20000
final,PPO,2025-11-05T11:45:56.609845,2025-11-05T14:46:18.650026,10822.682,28000,8000,20000
final,PPO,2025-11-05T11:47:57.949775,2025-11-05T14:48:25.115955,10827.809,28000,8000,20000
final,PPO,2025-11-05T12:58:07.933725,2025-11-05T15:57:24.754100,10757.411,28000,8000,20000
final,SAC,2025-11-05T14:37:53.907369,2025-11-05T17:36:58.547166,10745.283,28000,8000,20000
final,SAC,2025-11-05T14:39:27.940758,2025-11-05T17:38:58.104253,10770.813,28000,8000,20000
final,SAC,2025-11-05T14:40:37.833104,2025-11-05T17:39:44.397009,10747.216,28000,8000,20000
final,SAC,2025-11-05T14:41:01.756615,2025-11-05T17:40:07.309908,10746.205,28000,8000,20000
final,SAC,2025-11-05T14:46:18.654710,2025-11-05T17:46:10.779286,10792.782,28000,8000,20000
final,SAC,2025-11-05T14:48:25.119348,2025-11-05T17:48:27.041282,10802.579,28000,8000,20000
final,SAC,2025-11-05T15:57:24.758186,2025-11-05T18:56:53.705020,10769.704,28000,8000,20000
final,TD3,2025-11-05T17:36:58.550894,2025-11-05T20:36:23.981422,10766.151,28000,8000,20000
final,TD3,2025-11-05T17:38:58.114177,2025-11-05T20:38:18.132983,10760.732,28000,8000,20000
final,TD3,2025-11-05T17:39:44.400386,2025-11-05T20:39:04.283307,10760.593,28000,8000,20000
final,TD3,2025-11-05T17:40:07.313096,2025-11-05T20:39:33.273425,10766.673,28000,8000,20000
final,TD3,2025-11-05T17:46:10.782327,2025-11-05T20:46:00.509725,10790.437,28000,8000,20000
final,TD3,2025-11-05T17:48:27.044171,2025-11-05T20:48:46.915532,10820.583,28000,8000,20000
final,TD3,2025-11-05T18:56:53.708603,2025-11-05T21:55:50.224222,10737.251,28000,8000,20000
final,DDPG,2025-11-05T20:36:23.984177,2025-11-05T23:35:16.744661,10733.513,28000,8000,20000
final,DDPG,2025-11-05T20:38:18.137973,2025-11-05T23:37:32.836547,10755.456,28000,8000,20000
final,DDPG,2025-11-05T20:39:04.286278,2025-11-05T23:38:29.428033,10765.904,28000,8000,20000
final,DDPG,2025-11-05T20:39:33.276258,2025-11-05T23:39:23.579986,10791.081,28000,8000,20000
final,DDPG,2025-11-05T20:46:00.512896,2025-11-05T23:46:03.235016,10803.528,28000,8000,20000
final,DDPG,2025-11-05T20:48:46.918662,2025-11-05T23:49:04.072262,10817.966,28000,8000,20000
final,DDPG,2025-11-05T21:55:50.227690,2025-11-06T00:55:21.557406,10772.067,28000,8000,20000
final,A2C,2025-11-05T23:35:16.760019,2025-11-06T02:34:31.432600,10755.396,28000,8000,20000
final,A2C,2025-11-05T23:37:32.839483,2025-11-06T02:36:53.842622,10761.721,28000,8000,20000
final,A2C,2025-11-05T23:38:29.431493,2025-11-06T02:37:41.567390,10752.85,28000,8000,20000
final,A2C,2025-11-05T23:39:23.582589,2025-11-06T02:38:53.385114,10770.503,28000,8000,20000
final,A2C,2025-11-05T23:46:03.238636,2025-11-06T02:46:02.228502,10799.659,28000,8000,20000
final,A2C,2025-11-05T23:49:04.076418,2025-11-06T02:49:30.267574,10826.871,28000,8000,20000
final,A2C,2025-11-06T00:55:21.560055,2025-11-06T03:54:29.414629,10748.557,28000,8000,20000
final,DQN,2025-11-06T02:34:31.435601,2025-11-06T05:33:51.448021,10760.694,28000,8000,20000
final,DQN,2025-11-06T02:36:53.846693,2025-11-06T05:36:18.190074,10765.028,28000,8000,20000
final,DQN,2025-11-06T02:37:41.569647,2025-11-06T05:37:10.228163,10769.344,28000,8000,20000
final,DQN,2025-11-06T02:38:53.389552,2025-11-06T05:38:10.765103,10758.062,28000,8000,20000
final,DQN,2025-11-06T02:46:02.231628,2025-11-06T05:46:11.997308,10810.458,28000,8000,20000
final,DQN,2025-11-06T02:49:30.271569,2025-11-06T05:49:45.513194,10815.925,28000,8000,20000
final,DQN,2025-11-06T03:54:29.418024,2025-11-06T06:53:28.796249,10740.052,28000,8000,20000
final,MADDPG,2025-11-06T05:33:51.450699,2025-11-06T08:33:04.305156,10753.561,28000,8000,20000
final,MADDPG,2025-11-06T05:36:18.193119,2025-11-06T08:35:47.139579,10769.657,28000,8000,20000
final,MADDPG,2025-11-06T05:37:10.231570,2025-11-06T08:36:33.183636,10763.66,28000,8000,20000
final,MADDPG,2025-11-06T05:38:10.768023,2025-11-06T08:37:48.246949,10778.187,28000,8000,20000
final,MADDPG,2025-11-06T05:46:12.000087,2025-11-06T08:46:27.913383,10816.616,28000,8000,20000
final,MADDPG,2025-11-06T05:49:45.515797,2025-11-06T08:50:07.632100,10822.813,28000,8000,20000
