date_eu,time,timestamp,agent,phase,episode_index,step_in_episode,action_taken,request_mb,fault_type,latency_ms,cpu_percent,mem_percent,disk_percent,energy_joule,energy_method,energy_efficiency,host_cpu_percent,host_mem_percent,total_reward
08-12-2025,07:49:07,1765176547.4574254,A2C,early,0,0,noop,1,cpu_spike,2546.72,71.14,24.6,93.66,150.377,TDP-calibrated,0.393,2.4,59.8,-2.53
08-12-2025,07:49:07,1765176547.5591726,A2C,early,0,1,noop,10,cpu_spike,3672.61,99.0,98.0,34.47,301.779,TDP-calibrated,0.272,0.0,59.8,-6.773
08-12-2025,07:49:07,1765176547.6607106,A2C,early,0,2,noop,1,mem_pressure,2578.61,11.88,83.89,63.21,25.432,TDP-calibrated,0.388,0.0,59.8,-8.447
08-12-2025,07:49:07,1765176547.7624621,A2C,early,0,3,noop,10,none,1349.22,91.24,98.0,54.0,102.179,TDP-calibrated,0.741,0.0,59.8,-9.945
08-12-2025,07:49:07,1765176547.8642466,A2C,early,0,4,noop,5,none,1435.19,58.9,64.91,51.42,70.166,TDP-calibrated,0.696,0.0,59.8,-11.269
08-12-2025,07:49:07,1765176547.9660316,A2C,early,0,5,noop,10,none,930.55,99.0,90.29,22.73,76.463,TDP-calibrated,1.073,5.6,59.8,-12.344
08-12-2025,07:49:08,1765176548.0675664,A2C,early,0,6,noop,1,mem_pressure,2022.36,15.26,76.91,65.69,25.614,TDP-calibrated,0.494,0.0,59.8,-13.696
08-12-2025,07:49:19,1765176559.192221,A2C,early,1,0,noop,10,cpu_spike,2554.64,99.0,75.63,62.08,209.915,TDP-calibrated,0.391,0.0,59.8,-2.951
08-12-2025,07:49:19,1765176559.2937298,A2C,early,1,1,noop,10,none,788.15,99.0,81.87,91.96,64.763,TDP-calibrated,1.267,0.0,59.8,-3.861
08-12-2025,07:49:19,1765176559.395222,A2C,early,1,2,noop,5,none,948.48,63.58,48.93,26.25,50.055,TDP-calibrated,1.053,0.0,59.8,-4.762
08-12-2025,07:49:19,1765176559.4964929,A2C,early,1,3,noop,10,cpu_spike,2542.07,99.0,87.21,23.02,208.882,TDP-calibrated,0.393,0.0,59.8,-7.699
08-12-2025,07:49:19,1765176559.5981128,A2C,early,1,4,noop,10,none,1126.64,93.81,96.87,72.24,87.725,TDP-calibrated,0.887,0.0,59.8,-8.967
08-12-2025,07:49:19,1765176559.6996343,A2C,early,1,5,noop,10,none,1106.52,89.21,98.0,36.14,81.936,TDP-calibrated,0.903,0.0,59.8,-10.182
08-12-2025,07:49:19,1765176559.8009548,A2C,early,1,6,noop,1,cpu_spike,2278.87,61.11,30.38,89.33,115.579,TDP-calibrated,0.439,7.5,59.8,-12.313
08-12-2025,07:49:30,1765176570.9262354,A2C,early,2,0,noop,1,none,1316.31,29.77,19.5,60.7,32.522,TDP-calibrated,0.759,0.0,59.8,-0.991
08-12-2025,07:49:31,1765176571.0280404,A2C,early,2,1,noop,10,none,1615.93,99.0,98.0,46.41,132.781,TDP-calibrated,0.618,0.0,59.8,-2.858
08-12-2025,07:49:31,1765176571.1296864,A2C,early,2,2,noop,1,none,1241.49,20.39,46.02,83.6,21.011,TDP-calibrated,0.805,0.0,59.8,-3.725
08-12-2025,07:49:31,1765176571.231081,A2C,early,2,3,noop,10,none,1504.42,87.78,94.9,94.81,109.605,TDP-calibrated,0.664,2.9,59.8,-5.365
08-12-2025,07:49:31,1765176571.3327386,A2C,early,2,4,noop,1,none,1574.12,36.23,21.16,38.95,47.331,TDP-calibrated,0.635,7.1,59.8,-6.609
08-12-2025,07:49:31,1765176571.4344275,A2C,early,2,5,noop,1,mem_pressure,2136.06,32.33,64.42,56.53,57.323,TDP-calibrated,0.468,0.0,59.8,-8.249
08-12-2025,07:49:31,1765176571.5362332,A2C,early,2,6,noop,1,none,1126.63,19.46,16.61,80.55,18.198,TDP-calibrated,0.887,0.0,59.8,-9.03
08-12-2025,07:49:42,1765176582.6584015,A2C,early,3,0,noop,1,none,1651.58,15.93,45.38,37.56,21.835,TDP-calibrated,0.605,9.5,59.8,-1.111
08-12-2025,07:49:42,1765176582.7599134,A2C,early,3,1,noop,1,cpu_spike,2804.96,82.81,29.59,98.66,192.795,TDP-calibrated,0.356,0.0,59.8,-4.087
08-12-2025,07:49:42,1765176582.861666,A2C,early,3,2,noop,1,none,1273.52,18.67,37.76,15.14,19.735,TDP-calibrated,0.785,0.0,59.8,-4.964
08-12-2025,07:49:42,1765176582.9630926,A2C,early,3,3,noop,10,cpu_spike,4327.07,99.0,80.91,51.66,355.556,TDP-calibrated,0.231,0.0,59.8,-9.963
