date_eu,time,timestamp,agent,phase,episode_index,step_in_episode,action_taken,request_mb,fault_type,latency_ms,cpu_percent,mem_percent,disk_percent,energy_joule,energy_method,energy_efficiency,host_cpu_percent,host_mem_percent,total_reward
08-12-2025,12:13:08,1765192388.197002,A2C,final,0,0,noop,1,cpu_spike,2546.72,71.14,24.6,93.66,150.377,TDP-calibrated,0.393,0.0,59.1,-2.53
08-12-2025,12:13:08,1765192388.298586,A2C,final,0,1,noop,10,cpu_spike,3672.61,99.0,98.0,34.47,301.779,TDP-calibrated,0.272,0.0,59.1,-6.773
08-12-2025,12:13:08,1765192388.4002385,A2C,final,0,2,noop,1,mem_pressure,2578.61,11.88,83.89,63.21,25.432,TDP-calibrated,0.388,0.0,59.1,-8.447
08-12-2025,12:13:08,1765192388.502203,A2C,final,0,3,noop,10,none,1349.22,91.24,98.0,54.0,102.179,TDP-calibrated,0.741,0.0,59.1,-9.945
08-12-2025,12:13:08,1765192388.603898,A2C,final,0,4,noop,5,none,1435.19,58.9,64.91,51.42,70.166,TDP-calibrated,0.696,0.0,59.1,-11.269
08-12-2025,12:13:08,1765192388.7053087,A2C,final,0,5,noop,10,none,930.55,99.0,90.29,22.73,76.463,TDP-calibrated,1.073,0.0,59.1,-12.344
08-12-2025,12:13:08,1765192388.806768,A2C,final,0,6,noop,1,mem_pressure,2022.36,15.26,76.91,65.69,25.614,TDP-calibrated,0.494,0.0,59.1,-13.696
08-12-2025,12:13:19,1765192399.93162,A2C,final,1,0,noop,10,cpu_spike,2554.64,99.0,75.63,62.08,209.915,TDP-calibrated,0.391,0.0,59.1,-2.951
08-12-2025,12:13:20,1765192400.0331197,A2C,final,1,1,noop,10,none,788.15,99.0,81.87,91.96,64.763,TDP-calibrated,1.267,0.0,59.1,-3.861
08-12-2025,12:13:20,1765192400.1346972,A2C,final,1,2,noop,5,none,948.48,63.58,48.93,26.25,50.055,TDP-calibrated,1.053,0.0,59.1,-4.762
08-12-2025,12:13:20,1765192400.23645,A2C,final,1,3,noop,10,cpu_spike,2542.07,99.0,87.21,23.02,208.882,TDP-calibrated,0.393,0.0,59.1,-7.699
08-12-2025,12:13:20,1765192400.3381844,A2C,final,1,4,noop,10,none,1126.64,93.81,96.87,72.24,87.725,TDP-calibrated,0.887,0.0,59.1,-8.967
08-12-2025,12:13:20,1765192400.4398286,A2C,final,1,5,noop,10,none,1106.52,89.21,98.0,36.14,81.936,TDP-calibrated,0.903,0.0,59.1,-10.182
08-12-2025,12:13:20,1765192400.5412781,A2C,final,1,6,noop,1,cpu_spike,2278.87,61.11,30.38,89.33,115.579,TDP-calibrated,0.439,5.7,59.1,-12.313
08-12-2025,12:13:31,1765192411.6670384,A2C,final,2,0,noop,1,none,1316.31,29.77,19.5,60.7,32.522,TDP-calibrated,0.759,0.0,59.1,-0.991
08-12-2025,12:13:31,1765192411.7687438,A2C,final,2,1,noop,10,none,1615.93,99.0,98.0,46.41,132.781,TDP-calibrated,0.618,0.0,59.1,-2.858
08-12-2025,12:13:31,1765192411.870539,A2C,final,2,2,noop,1,none,1241.49,20.39,46.02,83.6,21.011,TDP-calibrated,0.805,0.0,59.1,-3.725
08-12-2025,12:13:31,1765192411.972339,A2C,final,2,3,noop,10,none,1504.42,87.78,94.9,94.81,109.605,TDP-calibrated,0.664,0.0,59.1,-5.365
08-12-2025,12:13:32,1765192412.0737047,A2C,final,2,4,noop,1,none,1574.12,36.23,21.16,38.95,47.331,TDP-calibrated,0.635,0.0,59.1,-6.609
08-12-2025,12:13:32,1765192412.1750233,A2C,final,2,5,noop,1,mem_pressure,2136.06,32.33,64.42,56.53,57.323,TDP-calibrated,0.468,0.0,59.1,-8.249
08-12-2025,12:13:32,1765192412.276767,A2C,final,2,6,noop,1,none,1126.63,19.46,16.61,80.55,18.198,TDP-calibrated,0.887,0.0,59.1,-9.03
08-12-2025,12:13:43,1765192423.4025555,A2C,final,3,0,noop,1,none,1651.58,15.93,45.38,37.56,21.835,TDP-calibrated,0.605,5.9,58.9,-1.111
08-12-2025,12:13:43,1765192423.5040607,A2C,final,3,1,noop,1,cpu_spike,2804.96,82.81,29.59,98.66,192.795,TDP-calibrated,0.356,7.1,58.9,-4.087
08-12-2025,12:13:43,1765192423.6054153,A2C,final,3,2,noop,1,none,1273.52,18.67,37.76,15.14,19.735,TDP-calibrated,0.785,5.4,58.9,-4.964
08-12-2025,12:13:43,1765192423.7072613,A2C,final,3,3,noop,10,cpu_spike,4327.07,99.0,80.91,51.66,355.556,TDP-calibrated,0.231,0.0,58.9,-9.963
08-12-2025,12:13:43,1765192423.80879,A2C,final,3,4,noop,10,disk_stall,3954.69,99.0,78.74,91.5,324.957,TDP-calibrated,0.253,0.0,58.9,-14.531
08-12-2025,12:13:43,1765192423.9106202,A2C,final,3,5,noop,10,none,1112.06,91.49,83.87,25.82,84.443,TDP-calibrated,0.898,0.0,58.9,-15.767
08-12-2025,12:13:44,1765192424.0120513,A2C,final,3,6,noop,5,cpu_spike,2890.61,99.0,47.72,63.37,237.522,TDP-calibrated,0.346,0.0,58.9,-19.106
