date_eu,time,timestamp,agent,phase,episode_index,step_in_episode,action_taken,request_mb,fault_type,latency_ms,cpu_percent,mem_percent,disk_percent,energy_joule,energy_method,energy_efficiency,host_cpu_percent,host_mem_percent,total_reward
08-12-2025,00:38:10,1765150690.2081494,DDPG,early,0,0,noop,1,mem_pressure,1782.65,17.7,65.18,21.78,26.195,TDP-calibrated,0.561,85.7,59.5,-1.217
08-12-2025,00:38:10,1765150690.3098354,DDPG,early,0,1,noop,1,mem_pressure,2531.48,25.82,81.52,28.83,54.257,TDP-calibrated,0.395,83.3,59.5,-3.065
08-12-2025,00:38:10,1765150690.4114363,DDPG,early,0,2,noop,5,none,976.3,73.22,61.94,66.78,59.332,TDP-calibrated,1.023,83.3,59.5,-4.047
08-12-2025,00:38:10,1765150690.5132196,DDPG,early,0,3,noop,1,cpu_spike,2546.72,71.14,24.6,93.66,150.377,TDP-calibrated,0.393,83.3,59.5,-6.577
08-12-2025,00:38:10,1765150690.6149309,DDPG,early,0,4,noop,10,cpu_spike,3672.61,99.0,98.0,34.47,301.779,TDP-calibrated,0.272,83.3,59.5,-10.82
08-12-2025,00:38:10,1765150690.716758,DDPG,early,0,5,noop,1,mem_pressure,2578.61,11.88,83.89,63.21,25.432,TDP-calibrated,0.388,83.3,59.5,-12.494
08-12-2025,00:38:10,1765150690.8185928,DDPG,early,0,6,noop,10,none,1349.22,91.24,98.0,54.0,102.179,TDP-calibrated,0.741,85.7,59.5,-13.992
08-12-2025,00:38:21,1765150701.6281815,DDPG,early,1,0,noop,10,cpu_spike,2429.21,99.0,79.85,96.05,199.608,TDP-calibrated,0.411,83.3,59.5,-2.806
08-12-2025,00:38:21,1765150701.7301223,DDPG,early,1,1,noop,10,disk_stall,3884.96,94.59,78.36,45.85,305.006,TDP-calibrated,0.257,86.1,59.5,-7.194
08-12-2025,00:38:21,1765150701.8318565,DDPG,early,1,2,noop,5,none,951.24,59.92,44.86,77.21,47.312,TDP-calibrated,1.05,83.3,59.5,-8.077
08-12-2025,00:38:21,1765150701.9333596,DDPG,early,1,3,noop,1,disk_stall,3694.19,14.03,36.29,95.48,43.01,TDP-calibrated,0.271,83.3,59.5,-10.521
08-12-2025,00:38:22,1765150702.0348213,DDPG,early,1,4,noop,1,none,1557.54,24.73,22.85,60.84,31.974,TDP-calibrated,0.642,83.3,59.5,-11.648
08-12-2025,00:38:22,1765150702.1363113,DDPG,early,1,5,noop,10,cpu_spike,3745.15,99.0,95.15,46.74,307.739,TDP-calibrated,0.267,83.3,59.5,-15.974
08-12-2025,00:38:22,1765150702.2380157,DDPG,early,1,6,noop,10,cpu_spike,2554.64,99.0,75.63,62.08,209.915,TDP-calibrated,0.391,85.7,59.5,-18.925
08-12-2025,00:38:33,1765150713.0483513,DDPG,early,2,0,noop,1,disk_stall,4827.94,40.05,21.49,56.28,160.5,TDP-calibrated,0.207,85.7,59.5,-3.924
08-12-2025,00:38:33,1765150713.1501968,DDPG,early,2,1,noop,1,mem_pressure,3701.47,15.43,56.56,48.19,47.395,TDP-calibrated,0.27,83.3,59.5,-6.403
08-12-2025,00:38:33,1765150713.2517242,DDPG,early,2,2,noop,5,none,1388.73,65.8,66.0,71.26,75.842,TDP-calibrated,0.72,83.3,59.5,-7.739
08-12-2025,00:38:33,1765150713.3532934,DDPG,early,2,3,noop,5,none,1004.84,74.37,59.88,61.09,62.029,TDP-calibrated,0.994,83.8,59.5,-8.756
08-12-2025,00:38:33,1765150713.4547508,DDPG,early,2,4,noop,10,none,768.14,94.16,98.0,60.15,60.035,TDP-calibrated,1.3,83.3,59.5,-9.622
08-12-2025,00:38:33,1765150713.5563354,DDPG,early,2,5,noop,1,disk_stall,2390.72,16.19,34.35,72.39,32.125,TDP-calibrated,0.418,86.5,59.5,-11.233
08-12-2025,00:38:33,1765150713.6578877,DDPG,early,2,6,noop,1,none,1623.93,30.01,33.87,18.38,40.447,TDP-calibrated,0.615,83.3,59.5,-12.458
08-12-2025,00:38:44,1765150724.470626,DDPG,early,3,0,noop,1,mem_pressure,2136.06,32.33,64.42,56.53,57.323,TDP-calibrated,0.468,88.4,59.5,-1.64
08-12-2025,00:38:44,1765150724.5724845,DDPG,early,3,1,noop,1,none,1126.63,19.46,16.61,80.55,18.198,TDP-calibrated,0.887,83.8,59.5,-2.421
08-12-2025,00:38:44,1765150724.6740875,DDPG,early,3,2,noop,10,disk_stall,2625.36,92.91,96.17,62.68,202.447,TDP-calibrated,0.381,83.3,59.5,-5.361
08-12-2025,00:38:44,1765150724.7757936,DDPG,early,3,3,noop,1,none,1567.78,42.04,32.87,85.94,54.707,TDP-calibrated,0.637,83.3,59.5,-6.653
08-12-2025,00:38:44,1765150724.8776245,DDPG,early,3,4,noop,10,cpu_spike,3020.25,99.0,85.94,94.31,248.174,TDP-calibrated,0.331,85.7,59.5,-10.142
08-12-2025,00:38:44,1765150724.979219,DDPG,early,3,5,noop,1,mem_pressure,2150.57,18.48,59.58,81.31,32.992,TDP-calibrated,0.465,83.3,59.5,-11.62
08-12-2025,00:38:45,1765150725.0807042,DDPG,early,3,6,noop,5,disk_stall,4318.5,72.83,49.6,28.81,261.039,TDP-calibrated,0.232,83.3,59.5,-15.952
08-12-2025,00:38:55,1765150735.8928435,DDPG,early,4,0,noop,1,none,1273.52,18.67,37.76,15.14,19.735,TDP-calibrated,0.785,97.6,60.7,-0.877
08-12-2025,00:38:55,1765150735.9944735,DDPG,early,4,1,noop,10,cpu_spike,4327.07,99.0,80.91,51.66,355.556,TDP-calibrated,0.231,100.0,60.8,-5.876
08-12-2025,00:38:56,1765150736.0960333,DDPG,early,4,2,noop,10,disk_stall,3954.69,99.0,78.74,91.5,324.957,TDP-calibrated,0.253,100.0,61.0,-10.444
08-12-2025,00:38:56,1765150736.1977715,DDPG,early,4,3,noop,10,none,1112.06,91.49,83.87,25.82,84.443,TDP-calibrated,0.898,100.0,61.1,-11.68
08-12-2025,00:38:56,1765150736.299436,DDPG,early,4,4,noop,5,cpu_spike,2890.61,99.0,47.72,63.37,237.522,TDP-calibrated,0.346,100.0,61.5,-15.019
08-12-2025,00:38:56,1765150736.4014702,DDPG,early,4,5,noop,5,cpu_spike,1921.04,94.83,55.4,64.3,151.201,TDP-calibrated,0.52,100.0,60.1,-17.192
08-12-2025,00:38:56,1765150736.5031943,DDPG,early,4,6,noop,10,none,1144.11,99.0,90.34,82.47,94.012,TDP-calibrated,0.873,91.1,60.1,-18.514
08-12-2025,00:39:07,1765150747.3132842,DDPG,early,5,0,noop,10,none,1590.58,93.05,79.77,88.23,122.847,TDP-calibrated,0.628,86.0,60.0,-1.782
08-12-2025,00:39:07,1765150747.4151785,DDPG,early,5,1,noop,5,none,957.35,62.46,65.47,59.31,49.627,TDP-calibrated,1.043,83.3,60.0,-2.685
08-12-2025,00:39:07,1765150747.5168371,DDPG,early,5,2,noop,10,none,1142.28,99.0,82.03,43.55,93.861,TDP-calibrated,0.875,83.3,60.0,-4.005
08-12-2025,00:39:07,1765150747.618471,DDPG,early,5,3,noop,10,none,864.8,90.79,79.58,33.19,65.167,TDP-calibrated,1.155,83.3,60.0,-4.963
08-12-2025,00:39:07,1765150747.7203412,DDPG,early,5,4,noop,5,none,1240.91,54.47,48.71,50.71,56.099,TDP-calibrated,0.805,83.3,60.0,-6.075
08-12-2025,00:39:07,1765150747.8217525,DDPG,early,5,5,noop,10,disk_stall,2216.25,99.0,92.27,55.54,182.109,TDP-calibrated,0.451,83.3,60.0,-8.635
08-12-2025,00:39:07,1765150747.9235444,DDPG,early,5,6,noop,5,none,1094.39,71.6,67.57,60.75,65.036,TDP-calibrated,0.913,83.3,60.0,-9.725
08-12-2025,00:39:18,1765150758.736472,DDPG,early,6,0,noop,1,none,739.56,14.99,20.29,71.9,9.199,TDP-calibrated,1.35,83.3,60.0,-0.493
08-12-2025,00:39:18,1765150758.8381326,DDPG,early,6,1,noop,10,disk_stall,3499.3,86.22,86.07,66.5,250.433,TDP-calibrated,0.286,83.3,60.0,-4.276
08-12-2025,00:39:18,1765150758.9397137,DDPG,early,6,2,noop,10,mem_pressure,3422.25,82.9,98.0,64.19,235.462,TDP-calibrated,0.292,83.3,60.0,-7.909
