date_eu,time,timestamp,agent,phase,episode_index,step_in_episode,action_taken,request_mb,fault_type,latency_ms,cpu_percent,mem_percent,disk_percent,energy_joule,energy_method,energy_efficiency,host_cpu_percent,host_mem_percent,total_reward
08-12-2025,04:56:44,1765166204.311203,DDPG,final,0,0,noop,1,mem_pressure,1782.65,17.7,65.18,21.78,26.195,TDP-calibrated,0.561,86.1,59.7,-1.217
08-12-2025,04:56:44,1765166204.41281,DDPG,final,0,1,noop,1,mem_pressure,2531.48,25.82,81.52,28.83,54.257,TDP-calibrated,0.395,83.3,59.7,-3.065
08-12-2025,04:56:44,1765166204.5148153,DDPG,final,0,2,noop,5,none,976.3,73.22,61.94,66.78,59.332,TDP-calibrated,1.023,86.1,59.7,-4.047
08-12-2025,04:56:44,1765166204.6166193,DDPG,final,0,3,noop,1,cpu_spike,2546.72,71.14,24.6,93.66,150.377,TDP-calibrated,0.393,83.3,59.7,-6.577
08-12-2025,04:56:44,1765166204.7184129,DDPG,final,0,4,noop,10,cpu_spike,3672.61,99.0,98.0,34.47,301.779,TDP-calibrated,0.272,85.7,59.7,-10.82
08-12-2025,04:56:44,1765166204.8199537,DDPG,final,0,5,noop,1,mem_pressure,2578.61,11.88,83.89,63.21,25.432,TDP-calibrated,0.388,83.3,59.7,-12.494
08-12-2025,04:56:44,1765166204.9213548,DDPG,final,0,6,noop,10,none,1349.22,91.24,98.0,54.0,102.179,TDP-calibrated,0.741,83.3,59.7,-13.992
08-12-2025,04:56:55,1765166215.7318418,DDPG,final,1,0,noop,10,cpu_spike,2429.21,99.0,79.85,96.05,199.608,TDP-calibrated,0.411,83.8,59.7,-2.806
08-12-2025,04:56:55,1765166215.8335094,DDPG,final,1,1,noop,10,disk_stall,3884.96,94.59,78.36,45.85,305.006,TDP-calibrated,0.257,88.1,59.7,-7.194
08-12-2025,04:56:55,1765166215.935142,DDPG,final,1,2,noop,5,none,951.24,59.92,44.86,77.21,47.312,TDP-calibrated,1.05,83.3,59.7,-8.077
08-12-2025,04:56:56,1765166216.0368893,DDPG,final,1,3,noop,1,disk_stall,3694.19,14.03,36.29,95.48,43.01,TDP-calibrated,0.271,83.3,59.7,-10.521
08-12-2025,04:56:56,1765166216.1387734,DDPG,final,1,4,noop,1,none,1557.54,24.73,22.85,60.84,31.974,TDP-calibrated,0.642,83.3,59.7,-11.648
