date_eu,time,timestamp,agent,phase,episode_index,step_in_episode,action_taken,request_mb,fault_type,latency_ms,cpu_percent,mem_percent,disk_percent,energy_joule,energy_method,energy_efficiency,host_cpu_percent,host_mem_percent,total_reward
08-12-2025,02:33:04,1765157584.908499,DDPG,mid,0,0,noop,1,mem_pressure,1782.65,17.7,65.18,21.78,26.195,TDP-calibrated,0.561,85.4,59.7,-1.217
08-12-2025,02:33:05,1765157585.0104294,DDPG,mid,0,1,noop,1,mem_pressure,2531.48,25.82,81.52,28.83,54.257,TDP-calibrated,0.395,86.1,59.7,-3.065
08-12-2025,02:33:05,1765157585.1119428,DDPG,mid,0,2,noop,5,none,976.3,73.22,61.94,66.78,59.332,TDP-calibrated,1.023,85.7,59.7,-4.047
08-12-2025,02:33:05,1765157585.2134082,DDPG,mid,0,3,noop,1,cpu_spike,2546.72,71.14,24.6,93.66,150.377,TDP-calibrated,0.393,83.3,59.7,-6.577
08-12-2025,02:33:05,1765157585.3151584,DDPG,mid,0,4,noop,10,cpu_spike,3672.61,99.0,98.0,34.47,301.779,TDP-calibrated,0.272,83.3,59.7,-10.82
08-12-2025,02:33:05,1765157585.4171019,DDPG,mid,0,5,noop,1,mem_pressure,2578.61,11.88,83.89,63.21,25.432,TDP-calibrated,0.388,86.1,59.7,-12.494
08-12-2025,02:33:05,1765157585.5186772,DDPG,mid,0,6,noop,10,none,1349.22,91.24,98.0,54.0,102.179,TDP-calibrated,0.741,83.3,59.7,-13.992
08-12-2025,02:33:16,1765157596.3299932,DDPG,mid,1,0,noop,10,cpu_spike,2429.21,99.0,79.85,96.05,199.608,TDP-calibrated,0.411,83.3,59.7,-2.806
08-12-2025,02:33:16,1765157596.4315617,DDPG,mid,1,1,noop,10,disk_stall,3884.96,94.59,78.36,45.85,305.006,TDP-calibrated,0.257,83.3,59.7,-7.194
08-12-2025,02:33:16,1765157596.5332613,DDPG,mid,1,2,noop,5,none,951.24,59.92,44.86,77.21,47.312,TDP-calibrated,1.05,83.3,59.7,-8.077
08-12-2025,02:33:16,1765157596.6351385,DDPG,mid,1,3,noop,1,disk_stall,3694.19,14.03,36.29,95.48,43.01,TDP-calibrated,0.271,83.3,59.7,-10.521
08-12-2025,02:33:16,1765157596.7366407,DDPG,mid,1,4,noop,1,none,1557.54,24.73,22.85,60.84,31.974,TDP-calibrated,0.642,83.3,59.7,-11.648
08-12-2025,02:33:16,1765157596.8381462,DDPG,mid,1,5,noop,10,cpu_spike,3745.15,99.0,95.15,46.74,307.739,TDP-calibrated,0.267,86.5,59.7,-15.974
