date_eu,time,timestamp,agent,phase,episode_index,step_in_episode,action_taken,request_mb,fault_type,latency_ms,cpu_percent,mem_percent,disk_percent,energy_joule,energy_method,energy_efficiency,host_cpu_percent,host_mem_percent,total_reward
09-12-2025,09:41:52,1765269712.9530153,DQN,early,0,0,scale,1,mem_pressure,2002.37,25.82,81.52,28.83,42.917,TDP-calibrated,0.499,100.0,88.7,-1.462
09-12-2025,09:41:54,1765269714.5430655,DQN,early,0,1,scale,5,none,1674.24,73.22,61.94,66.78,101.747,TDP-calibrated,0.597,81.6,89.7,-3.145
09-12-2025,09:41:57,1765269717.149646,DQN,early,0,2,scale,1,cpu_spike,1609.95,71.14,24.6,93.66,95.063,TDP-calibrated,0.621,80.6,92.0,-4.744
09-12-2025,09:41:59,1765269719.148058,DQN,early,0,3,scale,10,cpu_spike,2885.38,99.0,98.0,34.47,237.092,TDP-calibrated,0.346,59.5,92.5,-8.077
09-12-2025,09:42:01,1765269721.7167776,DQN,early,0,4,scale,1,mem_pressure,2063.38,11.88,83.89,63.21,20.351,TDP-calibrated,0.484,83.3,92.4,-9.416
09-12-2025,09:42:03,1765269723.251676,DQN,early,0,5,scale,10,none,2800.77,91.24,98.0,54.0,212.107,TDP-calibrated,0.357,90.7,92.7,-12.525
09-12-2025,09:42:05,1765269725.3780265,DQN,early,0,6,scale,5,none,3060.47,58.9,64.91,51.42,149.625,TDP-calibrated,0.327,77.8,92.5,-15.347
09-12-2025,09:42:08,1765269728.1587234,DQN,early,1,0,scale,5,none,1598.53,59.92,44.86,77.21,79.507,TDP-calibrated,0.625,95.5,92.6,-1.484
09-12-2025,09:42:10,1765269730.1928394,DQN,early,1,1,scale,1,disk_stall,2444.85,14.03,36.29,95.48,28.465,TDP-calibrated,0.409,100.0,94.4,-3.101
09-12-2025,09:42:13,1765269733.5915697,DQN,early,1,2,scale,1,none,3430.06,24.73,22.85,60.84,70.413,TDP-calibrated,0.291,69.0,90.3,-5.583
09-12-2025,09:42:16,1765269736.3642538,DQN,early,1,3,scale,10,cpu_spike,2967.55,99.0,95.15,46.74,243.844,TDP-calibrated,0.337,94.4,89.6,-9.011
09-12-2025,09:42:19,1765269739.0340366,DQN,early,1,4,scale,10,cpu_spike,1618.93,99.0,75.63,62.08,133.027,TDP-calibrated,0.617,64.3,89.6,-10.881
09-12-2025,09:42:21,1765269741.9673321,DQN,early,1,5,scale,10,none,1105.88,99.0,81.87,91.96,90.87,TDP-calibrated,0.903,90.7,91.7,-12.159
09-12-2025,09:42:25,1765269745.0102618,DQN,early,1,6,scale,5,none,1590.21,63.58,48.93,26.25,83.922,TDP-calibrated,0.628,73.0,92.5,-13.669
09-12-2025,09:42:28,1765269748.8260758,DQN,early,2,0,scale,5,none,1760.45,74.37,59.88,61.09,108.673,TDP-calibrated,0.568,85.7,93.9,-1.782
09-12-2025,09:42:31,1765269751.9984462,DQN,early,2,1,scale,10,none,1045.41,94.16,98.0,60.15,81.706,TDP-calibrated,0.956,90.5,93.9,-2.96
09-12-2025,09:42:34,1765269754.7714212,DQN,early,2,2,scale,1,disk_stall,1132.32,16.19,34.35,72.39,15.216,TDP-calibrated,0.882,97.3,94.3,-3.723
09-12-2025,09:42:39,1765269759.3275843,DQN,early,2,3,scale,1,none,3630.63,30.01,33.87,18.38,90.428,TDP-calibrated,0.275,90.9,94.4,-6.462
09-12-2025,09:42:42,1765269762.362911,DQN,early,2,4,scale,1,none,2592.65,28.32,44.54,32.36,60.942,TDP-calibrated,0.386,67.6,94.3,-8.392
09-12-2025,09:42:52,1765269772.322527,DQN,early,2,5,scale,10,none,1670.28,81.71,94.37,53.86,113.28,TDP-calibrated,0.598,70.3,94.5,-10.154
09-12-2025,09:44:22,1765269862.4286208,DQN,early,2,6,scale,1,none,2701.36,29.77,19.5,60.7,66.743,TDP-calibrated,0.37,37.8,93.4,-12.188
09-12-2025,09:44:33,1765269873.3464174,DQN,early,3,0,scale,10,cpu_spike,3020.25,99.0,85.94,94.31,248.174,TDP-calibrated,0.331,27.5,93.4,-3.489
09-12-2025,09:44:33,1765269873.4479408,DQN,early,3,1,scale,1,mem_pressure,2150.57,18.48,59.58,81.31,32.992,TDP-calibrated,0.465,38.9,93.4,-4.967
09-12-2025,09:44:33,1765269873.5498555,DQN,early,3,2,scale,5,disk_stall,4318.5,72.83,49.6,28.81,261.039,TDP-calibrated,0.232,28.9,93.4,-9.299
09-12-2025,09:44:33,1765269873.6514182,DQN,early,3,3,scale,1,mem_pressure,1735.52,36.02,66.47,94.12,51.881,TDP-calibrated,0.576,32.4,93.4,-10.669
09-12-2025,09:44:33,1765269873.7530859,DQN,early,3,4,scale,10,mem_pressure,3496.08,86.61,98.0,24.19,251.306,TDP-calibrated,0.286,26.3,93.4,-14.456
