date_eu,time,timestamp,agent,phase,episode_index,step_in_episode,action_taken,request_mb,fault_type,latency_ms,cpu_percent,mem_percent,disk_percent,energy_joule,energy_method,energy_efficiency,host_cpu_percent,host_mem_percent,total_reward
09-12-2025,23:58:40,1765321120.5109677,DQN,final,0,0,scale,1,mem_pressure,2531.48,25.82,81.52,28.83,54.257,TDP-calibrated,0.395,11.6,68.4,-1.848
09-12-2025,23:58:40,1765321120.6123734,DQN,final,0,1,scale,5,none,976.3,73.22,61.94,66.78,59.332,TDP-calibrated,1.023,0.0,68.4,-2.83
09-12-2025,23:58:40,1765321120.7137692,DQN,final,0,2,scale,1,cpu_spike,2546.72,71.14,24.6,93.66,150.377,TDP-calibrated,0.393,2.4,68.4,-5.36
09-12-2025,23:58:40,1765321120.8153827,DQN,final,0,3,scale,10,cpu_spike,3672.61,99.0,98.0,34.47,301.779,TDP-calibrated,0.272,0.0,68.4,-9.603
09-12-2025,23:58:40,1765321120.9166718,DQN,final,0,4,scale,1,mem_pressure,2578.61,11.88,83.89,63.21,25.432,TDP-calibrated,0.388,2.5,68.4,-11.277
09-12-2025,23:58:41,1765321121.0183244,DQN,final,0,5,scale,10,none,1349.22,91.24,98.0,54.0,102.179,TDP-calibrated,0.741,0.0,68.4,-12.775
09-12-2025,23:58:41,1765321121.1195605,DQN,final,0,6,scale,5,none,1435.19,58.9,64.91,51.42,70.166,TDP-calibrated,0.696,2.6,68.4,-14.099
10-12-2025,00:00:12,1765321212.0440116,DQN,final,1,0,scale,5,none,951.24,59.92,44.86,77.21,47.312,TDP-calibrated,1.05,0.0,68.3,-0.883
10-12-2025,00:00:12,1765321212.1458085,DQN,final,1,1,scale,1,disk_stall,3694.19,14.03,36.29,95.48,43.01,TDP-calibrated,0.271,0.0,68.3,-3.327
10-12-2025,00:00:12,1765321212.2470603,DQN,final,1,2,scale,1,none,1557.54,24.73,22.85,60.84,31.974,TDP-calibrated,0.642,0.0,68.3,-4.454
10-12-2025,00:00:12,1765321212.3486776,DQN,final,1,3,scale,10,cpu_spike,3745.15,99.0,95.15,46.74,307.739,TDP-calibrated,0.267,0.0,68.3,-8.78
10-12-2025,00:00:12,1765321212.4502912,DQN,final,1,4,scale,10,cpu_spike,2554.64,99.0,75.63,62.08,209.915,TDP-calibrated,0.391,0.0,68.3,-11.731
10-12-2025,00:00:12,1765321212.5515633,DQN,final,1,5,scale,10,none,788.15,99.0,81.87,91.96,64.763,TDP-calibrated,1.267,0.0,68.3,-12.641
10-12-2025,00:00:12,1765321212.6528401,DQN,final,1,6,scale,5,none,948.48,63.58,48.93,26.25,50.055,TDP-calibrated,1.053,8.8,68.3,-13.542
10-12-2025,00:01:43,1765321303.573666,DQN,final,2,0,scale,5,none,1004.84,74.37,59.88,61.09,62.029,TDP-calibrated,0.994,0.0,67.8,-1.017
10-12-2025,00:01:43,1765321303.6751046,DQN,final,2,1,scale,10,none,768.14,94.16,98.0,60.15,60.035,TDP-calibrated,1.3,0.0,67.8,-1.883
10-12-2025,00:01:43,1765321303.7765362,DQN,final,2,2,scale,1,disk_stall,2390.72,16.19,34.35,72.39,32.125,TDP-calibrated,0.418,0.0,67.8,-3.494
10-12-2025,00:01:43,1765321303.877854,DQN,final,2,3,scale,1,none,1623.93,30.01,33.87,18.38,40.447,TDP-calibrated,0.615,0.0,67.8,-4.719
10-12-2025,00:01:43,1765321303.9794722,DQN,final,2,4,scale,1,none,1280.33,28.32,44.54,32.36,30.095,TDP-calibrated,0.78,0.0,67.8,-5.672
10-12-2025,00:01:44,1765321304.0808413,DQN,final,2,5,scale,10,none,974.99,81.71,94.37,53.86,66.124,TDP-calibrated,1.025,0.0,67.8,-6.7
