date_eu,time,timestamp,agent,phase,episode_index,step_in_episode,action_taken,request_mb,fault_type,latency_ms,cpu_percent,mem_percent,disk_percent,energy_joule,energy_method,energy_efficiency,host_cpu_percent,host_mem_percent,total_reward
09-12-2025,11:51:48,1765277508.3015199,DQN,mid,0,0,scale,1,mem_pressure,2531.48,25.82,81.52,28.83,54.257,TDP-calibrated,0.395,11.1,78.9,-1.848
09-12-2025,11:51:48,1765277508.4032483,DQN,mid,0,1,scale,5,none,976.3,73.22,61.94,66.78,59.332,TDP-calibrated,1.023,34.1,79.0,-2.83
09-12-2025,11:51:48,1765277508.5053542,DQN,mid,0,2,scale,1,cpu_spike,2546.72,71.14,24.6,93.66,150.377,TDP-calibrated,0.393,35.1,79.0,-5.36
09-12-2025,11:51:48,1765277508.607435,DQN,mid,0,3,scale,10,cpu_spike,3672.61,99.0,98.0,34.47,301.779,TDP-calibrated,0.272,31.8,79.0,-9.603
09-12-2025,11:51:48,1765277508.709273,DQN,mid,0,4,scale,1,mem_pressure,2578.61,11.88,83.89,63.21,25.432,TDP-calibrated,0.388,19.4,79.0,-11.277
09-12-2025,11:51:48,1765277508.8109777,DQN,mid,0,5,scale,10,none,1349.22,91.24,98.0,54.0,102.179,TDP-calibrated,0.741,18.2,79.0,-12.775
09-12-2025,11:51:48,1765277508.9126246,DQN,mid,0,6,scale,5,none,1435.19,58.9,64.91,51.42,70.166,TDP-calibrated,0.696,41.0,79.0,-14.099
09-12-2025,11:51:59,1765277519.8254912,DQN,mid,1,0,scale,5,none,951.24,59.92,44.86,77.21,47.312,TDP-calibrated,1.05,16.7,78.6,-0.883
09-12-2025,11:51:59,1765277519.9269652,DQN,mid,1,1,scale,1,disk_stall,3694.19,14.03,36.29,95.48,43.01,TDP-calibrated,0.271,8.3,78.6,-3.327
09-12-2025,11:52:00,1765277520.0289493,DQN,mid,1,2,scale,1,none,1557.54,24.73,22.85,60.84,31.974,TDP-calibrated,0.642,27.9,78.6,-4.454
09-12-2025,11:52:00,1765277520.131069,DQN,mid,1,3,scale,10,cpu_spike,3745.15,99.0,95.15,46.74,307.739,TDP-calibrated,0.267,30.6,78.6,-8.78
09-12-2025,11:52:00,1765277520.2328408,DQN,mid,1,4,scale,10,cpu_spike,2554.64,99.0,75.63,62.08,209.915,TDP-calibrated,0.391,35.0,78.7,-11.731
09-12-2025,11:52:00,1765277520.3346457,DQN,mid,1,5,scale,10,none,788.15,99.0,81.87,91.96,64.763,TDP-calibrated,1.267,13.9,78.7,-12.641
09-12-2025,11:52:00,1765277520.436459,DQN,mid,1,6,scale,5,none,948.48,63.58,48.93,26.25,50.055,TDP-calibrated,1.053,11.6,78.7,-13.542
09-12-2025,11:52:11,1765277531.3542566,DQN,mid,2,0,scale,5,none,1004.84,74.37,59.88,61.09,62.029,TDP-calibrated,0.994,13.5,77.5,-1.017
09-12-2025,11:52:11,1765277531.455757,DQN,mid,2,1,scale,10,none,768.14,94.16,98.0,60.15,60.035,TDP-calibrated,1.3,14.6,77.5,-1.883
09-12-2025,11:52:11,1765277531.557355,DQN,mid,2,2,scale,1,disk_stall,2390.72,16.19,34.35,72.39,32.125,TDP-calibrated,0.418,13.9,77.5,-3.494
09-12-2025,11:52:11,1765277531.6589112,DQN,mid,2,3,scale,1,none,1623.93,30.01,33.87,18.38,40.447,TDP-calibrated,0.615,22.5,77.5,-4.719
09-12-2025,11:52:11,1765277531.7605977,DQN,mid,2,4,scale,1,none,1280.33,28.32,44.54,32.36,30.095,TDP-calibrated,0.78,18.9,77.5,-5.672
09-12-2025,11:52:11,1765277531.8622332,DQN,mid,2,5,scale,10,none,974.99,81.71,94.37,53.86,66.124,TDP-calibrated,1.025,23.7,77.5,-6.7
09-12-2025,11:52:11,1765277531.9638264,DQN,mid,2,6,scale,1,none,1316.31,29.77,19.5,60.7,32.522,TDP-calibrated,0.759,21.6,77.5,-7.691
09-12-2025,11:52:22,1765277542.8744345,DQN,mid,3,0,scale,10,cpu_spike,3020.25,99.0,85.94,94.31,248.174,TDP-calibrated,0.331,18.6,77.6,-3.489
09-12-2025,11:52:22,1765277542.9760623,DQN,mid,3,1,scale,1,mem_pressure,2150.57,18.48,59.58,81.31,32.992,TDP-calibrated,0.465,5.6,77.6,-4.967
09-12-2025,11:52:23,1765277543.0774193,DQN,mid,3,2,scale,5,disk_stall,4318.5,72.83,49.6,28.81,261.039,TDP-calibrated,0.232,13.6,77.6,-9.299
09-12-2025,11:52:23,1765277543.1789553,DQN,mid,3,3,scale,1,mem_pressure,1735.52,36.02,66.47,94.12,51.881,TDP-calibrated,0.576,2.8,77.6,-10.669
09-12-2025,11:52:23,1765277543.2803946,DQN,mid,3,4,scale,10,mem_pressure,3496.08,86.61,98.0,24.19,251.306,TDP-calibrated,0.286,4.9,77.6,-14.456
09-12-2025,11:52:23,1765277543.381852,DQN,mid,3,5,scale,1,mem_pressure,2178.25,38.9,70.31,40.94,70.324,TDP-calibrated,0.459,18.4,77.6,-16.212
09-12-2025,11:52:23,1765277543.483726,DQN,mid,3,6,scale,1,none,1353.63,23.84,24.86,20.9,26.79,TDP-calibrated,0.738,22.2,77.6,-17.185
09-12-2025,11:52:34,1765277554.3951755,DQN,mid,4,0,scale,5,cpu_spike,1921.04,94.83,55.4,64.3,151.201,TDP-calibrated,0.52,13.5,78.2,-2.173
09-12-2025,11:52:34,1765277554.4967978,DQN,mid,4,1,scale,10,none,1144.11,99.0,90.34,82.47,94.012,TDP-calibrated,0.873,14.0,78.2,-3.495
09-12-2025,11:52:34,1765277554.5983796,DQN,mid,4,2,scale,10,none,801.4,95.56,93.99,43.49,63.561,TDP-calibrated,1.246,28.9,78.2,-4.405
09-12-2025,11:52:34,1765277554.7002285,DQN,mid,4,3,scale,1,cpu_spike,2495.08,61.67,17.23,35.81,127.711,TDP-calibrated,0.401,9.5,78.2,-6.746
09-12-2025,11:52:34,1765277554.8019783,DQN,mid,4,4,scale,5,cpu_spike,3887.33,99.0,69.08,63.93,319.422,TDP-calibrated,0.257,22.2,78.1,-11.237
09-12-2025,11:52:34,1765277554.9033628,DQN,mid,4,5,scale,10,cpu_spike,3185.61,99.0,94.68,15.47,261.761,TDP-calibrated,0.314,11.9,78.1,-14.917
09-12-2025,11:52:35,1765277555.0048344,DQN,mid,4,6,scale,1,mem_pressure,2170.2,38.45,77.38,54.49,69.255,TDP-calibrated,0.461,18.4,78.1,-16.661
09-12-2025,11:52:45,1765277565.9266555,DQN,mid,5,0,scale,5,none,1094.39,71.6,67.57,60.75,65.036,TDP-calibrated,0.913,21.1,78.2,-1.09
09-12-2025,11:52:46,1765277566.0282373,DQN,mid,5,1,scale,10,cpu_spike,3464.33,99.0,81.58,52.05,284.664,TDP-calibrated,0.289,18.2,78.2,-5.092
09-12-2025,11:52:46,1765277566.1299067,DQN,mid,5,2,scale,1,none,1362.12,38.23,38.23,86.44,43.225,TDP-calibrated,0.734,19.4,78.2,-6.185
09-12-2025,11:52:46,1765277566.2313657,DQN,mid,5,3,scale,1,disk_stall,3698.28,42.15,34.26,71.35,129.381,TDP-calibrated,0.27,20.9,78.2,-9.236
09-12-2025,11:52:46,1765277566.3329935,DQN,mid,5,4,scale,1,cpu_spike,2267.39,71.12,18.01,47.22,133.845,TDP-calibrated,0.441,16.7,78.2,-11.488
09-12-2025,11:52:46,1765277566.4344497,DQN,mid,5,5,scale,1,cpu_spike,2784.0,86.17,24.85,95.85,199.108,TDP-calibrated,0.359,9.5,78.2,-14.496
09-12-2025,11:52:46,1765277566.5358675,DQN,mid,5,6,scale,5,none,798.63,40.2,58.68,99.99,26.646,TDP-calibrated,1.251,8.3,78.2,-15.146
09-12-2025,11:52:57,1765277577.4476976,DQN,mid,6,0,scale,1,none,1067.7,41.6,30.29,28.0,36.863,TDP-calibrated,0.936,10.8,78.2,-0.877
09-12-2025,11:52:57,1765277577.5492964,DQN,mid,6,1,scale,1,mem_pressure,3842.66,19.22,80.75,60.74,61.31,TDP-calibrated,0.26,7.0,78.2,-3.535
09-12-2025,11:52:57,1765277577.6510816,DQN,mid,6,2,scale,5,cpu_spike,4033.88,99.0,52.17,35.87,331.464,TDP-calibrated,0.248,21.1,78.2,-8.195
09-12-2025,11:52:57,1765277577.7525537,DQN,mid,6,3,scale,1,none,1152.77,36.52,33.6,71.8,34.94,TDP-calibrated,0.867,12.5,78.2,-9.108
09-12-2025,11:52:57,1765277577.8541448,DQN,mid,6,4,scale,5,none,1536.91,46.05,48.86,82.82,58.738,TDP-calibrated,0.65,5.6,78.2,-10.411
09-12-2025,11:52:57,1765277577.9557414,DQN,mid,6,5,scale,5,none,1292.31,71.18,59.17,58.91,76.353,TDP-calibrated,0.773,11.6,78.1,-11.695
