date_eu,time,timestamp,agent,phase,episode_index,step_in_episode,action_taken,request_mb,fault_type,latency_ms,cpu_percent,mem_percent,disk_percent,energy_joule,energy_method,energy_efficiency,host_cpu_percent,host_mem_percent,total_reward
01-12-2025,15:50:28,1764600628.1102047,PPO,early,0,0,noop,1,cpu_spike,3013.97,83.52,40.44,85.69,208.929,TDP-calibrated,0.332,25.6,58.4,-3.211
01-12-2025,15:50:28,1764600628.2121933,PPO,early,0,1,noop,1,disk_stall,3635.31,10.08,29.62,17.73,30.424,TDP-calibrated,0.275,22.2,58.4,-5.532
01-12-2025,15:50:28,1764600628.31423,PPO,early,0,2,noop,10,mem_pressure,2412.64,96.4,98.0,43.37,193.034,TDP-calibrated,0.414,27.9,58.4,-8.283
01-12-2025,15:50:28,1764600628.4159942,PPO,early,0,3,noop,1,mem_pressure,2946.29,44.57,79.92,60.2,108.998,TDP-calibrated,0.339,24.3,58.4,-10.755
01-12-2025,15:50:28,1764600628.5175312,PPO,early,0,4,noop,10,mem_pressure,1876.52,99.0,98.0,99.4,154.193,TDP-calibrated,0.533,25.6,58.4,-12.923
01-12-2025,15:50:28,1764600628.61928,PPO,early,0,5,noop,1,mem_pressure,2645.32,19.47,70.04,89.85,42.742,TDP-calibrated,0.378,33.3,58.4,-14.756
01-12-2025,15:50:28,1764600628.7207553,PPO,early,0,6,noop,10,none,1037.21,83.54,92.26,53.59,71.919,TDP-calibrated,0.963,38.1,58.4,-15.861
01-12-2025,15:54:07,1764600847.8257449,PPO,early,1,0,noop,10,none,1139.6,99.0,86.14,15.37,93.641,TDP-calibrated,0.877,34.1,56.8,-1.316
01-12-2025,15:54:07,1764600847.927583,PPO,early,1,1,noop,1,mem_pressure,2335.66,27.26,73.0,87.85,52.853,TDP-calibrated,0.428,31.6,56.8,-3.041
01-12-2025,15:54:08,1764600848.0295782,PPO,early,1,2,noop,10,cpu_spike,3709.52,99.0,85.35,56.88,304.811,TDP-calibrated,0.27,21.4,56.8,-7.326
01-12-2025,15:54:08,1764600848.1312633,PPO,early,1,3,noop,10,cpu_spike,4165.68,99.0,98.0,39.76,342.294,TDP-calibrated,0.24,30.8,56.8,-12.138
01-12-2025,15:54:08,1764600848.232815,PPO,early,1,4,noop,10,none,743.26,85.29,93.33,26.39,52.614,TDP-calibrated,1.344,19.0,56.8,-12.937
01-12-2025,15:54:08,1764600848.3348396,PPO,early,1,5,noop,5,cpu_spike,3662.42,99.0,72.05,27.24,300.941,TDP-calibrated,0.273,36.8,56.8,-17.168
01-12-2025,15:54:08,1764600848.4364555,PPO,early,1,6,noop,1,none,1339.3,41.21,37.3,93.75,45.81,TDP-calibrated,0.746,21.4,56.8,-18.265
01-12-2025,15:57:47,1764601067.600642,PPO,early,2,0,noop,1,cpu_spike,3587.0,81.18,39.42,96.54,241.705,TDP-calibrated,0.279,24.3,57.2,-3.772
01-12-2025,15:57:47,1764601067.7025135,PPO,early,2,1,noop,10,mem_pressure,2539.32,77.55,98.0,81.32,163.446,TDP-calibrated,0.394,23.3,57.2,-6.389
01-12-2025,15:57:47,1764601067.8045924,PPO,early,2,2,noop,1,none,1161.29,24.44,19.68,80.88,23.559,TDP-calibrated,0.86,19.4,57.2,-7.227
01-12-2025,15:57:47,1764601067.906144,PPO,early,2,3,noop,10,none,752.96,96.12,91.05,99.6,60.07,TDP-calibrated,1.326,23.8,57.2,-8.084
01-12-2025,15:57:48,1764601068.0078433,PPO,early,2,4,noop,5,none,1362.18,40.55,68.24,34.0,45.842,TDP-calibrated,0.734,24.3,57.2,-9.195
01-12-2025,15:57:48,1764601068.109549,PPO,early,2,5,noop,10,mem_pressure,2913.3,96.77,98.0,28.43,233.991,TDP-calibrated,0.343,23.8,57.2,-12.523
01-12-2025,15:57:48,1764601068.2113001,PPO,early,2,6,noop,10,cpu_spike,2933.81,99.0,98.0,52.64,241.071,TDP-calibrated,0.341,31.6,57.2,-15.912
01-12-2025,16:01:27,1764601287.3090088,PPO,early,3,0,noop,1,disk_stall,4692.18,11.24,27.67,40.22,43.772,TDP-calibrated,0.213,26.2,57.2,-3.028
01-12-2025,16:01:27,1764601287.4107232,PPO,early,3,1,noop,1,mem_pressure,2725.57,23.53,60.01,88.55,53.241,TDP-calibrated,0.367,25.0,57.2,-4.982
01-12-2025,16:01:27,1764601287.512596,PPO,early,3,2,noop,1,none,852.11,39.87,27.54,17.08,28.198,TDP-calibrated,1.172,26.8,57.2,-5.674
01-12-2025,16:01:27,1764601287.6144452,PPO,early,3,3,noop,1,none,1090.5,24.3,32.62,55.08,21.991,TDP-calibrated,0.916,19.4,57.2,-6.46
01-12-2025,16:01:27,1764601287.7161782,PPO,early,3,4,noop,5,none,1467.58,74.99,72.31,35.13,91.345,TDP-calibrated,0.681,19.0,57.2,-7.951
01-12-2025,16:01:27,1764601287.818151,PPO,early,3,5,noop,5,mem_pressure,2690.3,62.5,98.0,78.33,139.56,TDP-calibrated,0.372,22.2,57.2,-10.488
01-12-2025,16:01:27,1764601287.9197276,PPO,early,3,6,noop,10,none,1593.39,95.11,98.0,34.28,125.778,TDP-calibrated,0.627,25.6,57.2,-12.293
01-12-2025,16:05:07,1764601507.0394623,PPO,early,4,0,noop,10,cpu_spike,2707.82,99.0,95.06,30.43,222.502,TDP-calibrated,0.369,28.9,57.1,-3.128
01-12-2025,16:05:07,1764601507.1410875,PPO,early,4,1,noop,5,none,1402.22,61.38,66.46,31.22,71.442,TDP-calibrated,0.713,21.4,57.1,-4.441
01-12-2025,16:05:07,1764601507.2428288,PPO,early,4,2,noop,10,none,969.19,99.0,98.0,58.5,79.638,TDP-calibrated,1.031,35.9,57.1,-5.561
01-12-2025,16:05:07,1764601507.3447673,PPO,early,4,3,noop,10,mem_pressure,3720.21,96.17,98.0,80.32,296.962,TDP-calibrated,0.269,30.2,57.1,-9.797
01-12-2025,16:05:07,1764601507.4465523,PPO,early,4,4,noop,5,none,1319.92,68.58,42.91,19.57,75.136,TDP-calibrated,0.757,21.6,57.1,-11.089
01-12-2025,16:05:07,1764601507.5483558,PPO,early,4,5,noop,10,cpu_spike,2640.89,99.0,98.0,47.69,217.002,TDP-calibrated,0.379,19.0,57.1,-14.14
01-12-2025,16:05:07,1764601507.6502821,PPO,early,4,6,noop,10,none,950.16,94.98,98.0,28.47,74.907,TDP-calibrated,1.051,19.4,57.1,-15.215
01-12-2025,16:08:46,1764601726.783517,PPO,early,5,0,noop,1,none,865.77,24.73,17.11,32.59,17.769,TDP-calibrated,1.154,34.2,56.7,-0.627
01-12-2025,16:08:46,1764601726.8854206,PPO,early,5,1,noop,1,mem_pressure,2940.45,45.03,84.28,82.99,109.894,TDP-calibrated,0.34,29.7,56.7,-3.102
01-12-2025,16:08:46,1764601726.9869978,PPO,early,5,2,noop,10,mem_pressure,2550.19,99.0,98.0,58.52,209.549,TDP-calibrated,0.392,26.3,56.7,-6.048
01-12-2025,16:08:47,1764601727.0884893,PPO,early,5,3,noop,5,mem_pressure,1990.97,60.45,95.23,74.71,99.89,TDP-calibrated,0.502,27.0,56.7,-7.902
01-12-2025,16:08:47,1764601727.1902895,PPO,early,5,4,noop,1,cpu_spike,1997.3,72.81,23.84,87.18,120.694,TDP-calibrated,0.5,26.3,56.7,-9.905
01-12-2025,16:08:47,1764601727.2920601,PPO,early,5,5,noop,10,cpu_spike,3416.45,99.0,83.89,46.93,280.73,TDP-calibrated,0.293,31.6,56.7,-13.852
01-12-2025,16:08:47,1764601727.3940017,PPO,early,5,6,noop,5,none,1174.83,74.0,45.78,84.95,72.154,TDP-calibrated,0.85,27.8,56.7,-15.038
01-12-2025,16:12:26,1764601946.5116074,PPO,early,6,0,noop,10,mem_pressure,3792.8,95.51,98.0,30.11,300.662,TDP-calibrated,0.264,22.5,56.9,-4.304
01-12-2025,16:12:26,1764601946.6132207,PPO,early,6,1,noop,1,none,1234.92,29.24,28.24,73.83,29.97,TDP-calibrated,0.809,24.3,56.9,-5.23
01-12-2025,16:12:26,1764601946.714964,PPO,early,6,2,noop,5,none,1186.66,69.12,55.76,53.6,68.075,TDP-calibrated,0.842,25.6,56.9,-6.395
01-12-2025,16:12:26,1764601946.8168921,PPO,early,6,3,noop,5,disk_stall,2646.34,64.46,70.18,89.45,141.578,TDP-calibrated,0.378,22.2,56.9,-8.921
01-12-2025,16:12:26,1764601946.9184177,PPO,early,6,4,noop,5,none,1084.07,59.82,50.69,47.53,53.829,TDP-calibrated,0.922,32.6,56.9,-9.927
01-12-2025,16:12:27,1764601947.0203676,PPO,early,6,5,noop,5,cpu_spike,2866.89,97.03,44.0,94.61,230.873,TDP-calibrated,0.349,32.4,56.9,-13.206
01-12-2025,16:12:27,1764601947.1220558,PPO,early,6,6,noop,5,cpu_spike,4139.35,99.0,53.45,59.89,340.131,TDP-calibrated,0.242,42.2,56.9,-17.988
01-12-2025,16:16:06,1764602166.253249,PPO,early,7,0,noop,10,cpu_spike,2378.09,99.0,87.04,20.94,195.408,TDP-calibrated,0.42,22.2,57.2,-2.747
01-12-2025,16:16:06,1764602166.3546934,PPO,early,7,1,noop,1,mem_pressure,2288.13,20.72,56.58,29.45,39.356,TDP-calibrated,0.437,22.2,57.2,-4.35
01-12-2025,16:16:06,1764602166.4564633,PPO,early,7,2,noop,5,cpu_spike,4231.45,92.6,64.45,53.61,325.226,TDP-calibrated,0.236,34.2,57.2,-9.081
01-12-2025,16:16:06,1764602166.5583215,PPO,early,7,3,noop,5,cpu_spike,4245.62,99.0,67.13,36.34,348.863,TDP-calibrated,0.235,23.8,57.2,-13.986
01-12-2025,16:16:06,1764602166.6602995,PPO,early,7,4,noop,1,none,1642.82,10.0,36.68,18.58,13.633,TDP-calibrated,0.608,29.7,57.2,-15.034
01-12-2025,16:16:06,1764602166.7622488,PPO,early,7,5,noop,1,none,897.65,43.51,42.64,64.36,32.416,TDP-calibrated,1.113,26.2,57.2,-15.782
01-12-2025,16:16:06,1764602166.863736,PPO,early,7,6,noop,10,none,1555.38,99.0,95.78,96.0,127.806,TDP-calibrated,0.643,29.7,57.2,-17.579
01-12-2025,16:19:46,1764602386.001707,PPO,early,8,0,noop,5,none,801.6,43.26,61.92,91.42,28.78,TDP-calibrated,1.246,27.9,57.0,-0.666
01-12-2025,16:19:46,1764602386.103644,PPO,early,8,1,noop,1,cpu_spike,2467.17,77.34,28.44,40.0,158.375,TDP-calibrated,0.405,19.4,57.0,-3.206
01-12-2025,16:19:46,1764602386.20559,PPO,early,8,2,noop,1,cpu_spike,4459.01,90.15,26.33,91.28,333.649,TDP-calibrated,0.224,15.4,57.0,-8.128
