date_eu,time,timestamp,agent,phase,episode_index,step_in_episode,action_taken,request_mb,fault_type,latency_ms,cpu_percent,mem_percent,disk_percent,energy_joule,energy_method,energy_efficiency,host_cpu_percent,host_mem_percent,total_reward
05-12-2025,02:32:01,1764898321.1605566,PPO,final,0,0,noop,1,cpu_spike,2139.26,83.52,40.44,85.69,148.294,TDP-calibrated,0.467,54.8,85.9,-2.279
05-12-2025,02:32:02,1764898322.1492245,PPO,final,0,1,noop,1,disk_stall,2385.56,10.08,29.62,17.73,19.965,TDP-calibrated,0.419,61.9,86.0,-3.802
05-12-2025,02:32:03,1764898323.9719245,PPO,final,0,2,noop,10,mem_pressure,1848.5,96.4,98.0,43.37,147.898,TDP-calibrated,0.541,100.0,86.1,-5.909
05-12-2025,02:32:05,1764898325.6178343,PPO,final,0,3,noop,1,mem_pressure,2539.39,44.57,79.92,60.2,93.945,TDP-calibrated,0.394,60.5,86.6,-8.039
05-12-2025,02:32:07,1764898327.270119,PPO,final,0,4,noop,10,mem_pressure,1154.42,99.0,98.0,99.4,94.859,TDP-calibrated,0.865,68.3,87.2,-9.373
05-12-2025,02:32:09,1764898329.1013463,PPO,final,0,5,noop,1,mem_pressure,2149.75,19.47,70.04,89.85,34.735,TDP-calibrated,0.465,100.0,88.7,-10.863
05-12-2025,02:32:10,1764898330.9430773,PPO,final,0,6,noop,10,none,1858.25,83.54,92.26,53.59,128.848,TDP-calibrated,0.538,73.8,89.0,-12.843
05-12-2025,02:35:42,1764898542.133749,PPO,final,1,0,noop,10,none,2167.55,99.0,86.14,15.37,178.108,TDP-calibrated,0.461,72.7,85.4,-2.504
05-12-2025,02:35:43,1764898543.6513205,PPO,final,1,1,noop,1,mem_pressure,1748.85,27.26,73.0,87.85,39.574,TDP-calibrated,0.571,76.2,85.6,-3.795
05-12-2025,02:35:45,1764898545.180856,PPO,final,1,2,noop,10,cpu_spike,2927.19,99.0,85.35,56.88,240.527,TDP-calibrated,0.342,64.3,85.7,-7.176
05-12-2025,02:35:46,1764898546.7161622,PPO,final,1,3,noop,10,cpu_spike,3443.94,99.0,98.0,39.76,282.989,TDP-calibrated,0.29,75.0,85.6,-11.154
05-12-2025,02:35:48,1764898548.3182213,PPO,final,1,4,noop,10,none,970.26,85.29,93.33,26.39,68.682,TDP-calibrated,1.03,90.5,85.7,-12.198
05-12-2025,02:35:50,1764898550.1870213,PPO,final,1,5,noop,5,cpu_spike,2873.84,99.0,72.05,27.24,236.143,TDP-calibrated,0.348,81.6,85.6,-15.518
05-12-2025,02:35:52,1764898552.0247498,PPO,final,1,6,noop,1,none,2770.81,41.21,37.3,93.75,94.773,TDP-calibrated,0.361,85.7,87.1,-17.788
05-12-2025,02:39:23,1764898763.0639122,PPO,final,2,0,noop,1,cpu_spike,2788.4,81.18,39.42,96.54,187.892,TDP-calibrated,0.358,67.6,82.2,-2.933
05-12-2025,02:39:24,1764898764.5751653,PPO,final,2,1,noop,10,mem_pressure,2012.51,77.55,98.0,81.32,129.537,TDP-calibrated,0.497,58.1,82.3,-5.007
05-12-2025,02:39:26,1764898766.3814633,PPO,final,2,2,noop,1,none,2233.06,24.44,19.68,80.88,45.303,TDP-calibrated,0.448,56.8,82.5,-6.619
05-12-2025,02:39:28,1764898768.0091996,PPO,final,2,3,noop,10,none,999.58,96.12,91.05,99.6,79.744,TDP-calibrated,0.999,81.0,82.9,-7.757
05-12-2025,02:39:29,1764898769.9505887,PPO,final,2,4,noop,5,none,2839.93,40.55,68.24,34.0,95.574,TDP-calibrated,0.352,61.9,83.8,-10.073
05-12-2025,02:39:31,1764898771.7269144,PPO,final,2,5,noop,10,mem_pressure,2496.68,96.77,98.0,28.43,200.529,TDP-calibrated,0.4,95.3,84.8,-12.925
05-12-2025,02:39:33,1764898773.6538475,PPO,final,2,6,noop,10,cpu_spike,2048.45,99.0,98.0,52.64,168.321,TDP-calibrated,0.488,88.1,85.6,-15.291
05-12-2025,02:43:04,1764898984.304838,PPO,final,3,0,noop,1,disk_stall,3449.76,11.24,27.67,40.22,32.182,TDP-calibrated,0.29,89.5,79.0,-2.226
05-12-2025,02:43:06,1764898986.2651567,PPO,final,3,1,noop,1,mem_pressure,2253.63,23.53,60.01,88.55,44.022,TDP-calibrated,0.444,97.6,79.8,-3.841
05-12-2025,02:43:07,1764898987.918436,PPO,final,3,2,noop,1,none,1299.09,39.87,27.54,17.08,42.989,TDP-calibrated,0.769,66.7,80.1,-4.895
05-12-2025,02:43:09,1764898989.4974296,PPO,final,3,3,noop,1,none,2019.21,24.3,32.62,55.08,40.719,TDP-calibrated,0.495,78.6,80.7,-6.351
05-12-2025,02:43:11,1764898991.4241192,PPO,final,3,4,noop,5,none,3158.31,74.99,72.31,35.13,196.579,TDP-calibrated,0.317,86.5,81.0,-9.559
05-12-2025,02:43:13,1764898993.423689,PPO,final,3,5,noop,5,mem_pressure,2207.98,62.5,98.0,78.33,114.539,TDP-calibrated,0.453,97.2,81.4,-11.641
05-12-2025,02:43:15,1764898995.4829845,PPO,final,3,6,noop,10,none,3538.35,95.11,98.0,34.28,279.308,TDP-calibrated,0.283,71.4,82.7,-15.648
05-12-2025,02:46:46,1764899206.4509747,PPO,final,4,0,noop,10,cpu_spike,1792.45,99.0,95.06,30.43,147.286,TDP-calibrated,0.558,88.4,81.6,-2.071
05-12-2025,02:46:47,1764899207.8824883,PPO,final,4,1,noop,5,none,2960.88,61.38,66.46,31.22,150.854,TDP-calibrated,0.338,63.9,81.8,-4.844
05-12-2025,02:46:49,1764899209.5290606,PPO,final,4,2,noop,10,none,1652.75,99.0,98.0,58.5,135.807,TDP-calibrated,0.605,92.9,81.9,-6.753
05-12-2025,02:46:51,1764899211.2263403,PPO,final,4,3,noop,10,mem_pressure,3541.34,96.17,98.0,80.32,282.684,TDP-calibrated,0.282,63.9,81.4,-10.786
05-12-2025,02:46:53,1764899213.0212328,PPO,final,4,4,noop,5,none,2712.27,68.58,42.91,19.57,154.394,TDP-calibrated,0.369,86.1,81.3,-13.44
