date_eu,time,timestamp,agent,phase,episode_index,step_in_episode,action_taken,request_mb,fault_type,latency_ms,cpu_percent,mem_percent,disk_percent,energy_joule,energy_method,energy_efficiency,host_cpu_percent,host_mem_percent,total_reward
03-12-2025,04:28:42,1764732522.7988417,PPO,mid,0,0,noop,1,cpu_spike,2139.26,83.52,40.44,85.69,148.294,TDP-calibrated,0.467,66.7,82.2,-2.279
03-12-2025,04:28:43,1764732523.7968404,PPO,mid,0,1,noop,1,disk_stall,2385.56,10.08,29.62,17.73,19.965,TDP-calibrated,0.419,86.4,82.6,-3.802
03-12-2025,04:28:45,1764732525.3321764,PPO,mid,0,2,noop,10,mem_pressure,1848.5,96.4,98.0,43.37,147.898,TDP-calibrated,0.541,52.4,83.7,-5.909
03-12-2025,04:28:46,1764732526.764565,PPO,mid,0,3,noop,1,mem_pressure,2539.39,44.57,79.92,60.2,93.945,TDP-calibrated,0.394,74.4,83.9,-8.039
03-12-2025,04:28:48,1764732528.4569652,PPO,mid,0,4,noop,10,mem_pressure,1154.42,99.0,98.0,99.4,94.859,TDP-calibrated,0.865,65.1,84.5,-9.373
03-12-2025,04:28:50,1764732530.1481013,PPO,mid,0,5,noop,1,mem_pressure,2149.75,19.47,70.04,89.85,34.735,TDP-calibrated,0.465,100.0,84.8,-10.863
03-12-2025,04:28:51,1764732531.9379132,PPO,mid,0,6,noop,10,none,1858.25,83.54,92.26,53.59,128.848,TDP-calibrated,0.538,78.6,85.2,-12.843
03-12-2025,04:32:22,1764732742.2572548,PPO,mid,1,0,noop,10,none,2167.55,99.0,86.14,15.37,178.108,TDP-calibrated,0.461,79.5,75.3,-2.504
03-12-2025,04:32:23,1764732743.652734,PPO,mid,1,1,noop,1,mem_pressure,1748.85,27.26,73.0,87.85,39.574,TDP-calibrated,0.571,83.8,75.5,-3.795
03-12-2025,04:32:25,1764732745.1727858,PPO,mid,1,2,noop,10,cpu_spike,2927.19,99.0,85.35,56.88,240.527,TDP-calibrated,0.342,97.2,75.8,-7.176
03-12-2025,04:32:26,1764732746.6708505,PPO,mid,1,3,noop,10,cpu_spike,3443.94,99.0,98.0,39.76,282.989,TDP-calibrated,0.29,80.6,76.0,-11.154
03-12-2025,04:32:28,1764732748.5564709,PPO,mid,1,4,noop,10,none,970.26,85.29,93.33,26.39,68.682,TDP-calibrated,1.03,75.0,76.2,-12.198
03-12-2025,04:32:30,1764732750.2298136,PPO,mid,1,5,noop,5,cpu_spike,2873.84,99.0,72.05,27.24,236.143,TDP-calibrated,0.348,100.0,76.5,-15.518
03-12-2025,04:32:31,1764732751.9925988,PPO,mid,1,6,noop,1,none,2770.81,41.21,37.3,93.75,94.773,TDP-calibrated,0.361,58.3,77.7,-17.788
03-12-2025,04:36:01,1764732961.9732273,PPO,mid,2,0,noop,1,cpu_spike,2788.4,81.18,39.42,96.54,187.892,TDP-calibrated,0.358,90.5,76.8,-2.933
03-12-2025,04:36:03,1764732963.3962698,PPO,mid,2,1,noop,10,mem_pressure,2012.51,77.55,98.0,81.32,129.537,TDP-calibrated,0.497,73.8,76.8,-5.007
03-12-2025,04:36:04,1764732964.9077399,PPO,mid,2,2,noop,1,none,2233.06,24.44,19.68,80.88,45.303,TDP-calibrated,0.448,78.4,76.9,-6.619
03-12-2025,04:36:06,1764732966.4328117,PPO,mid,2,3,noop,10,none,999.58,96.12,91.05,99.6,79.744,TDP-calibrated,0.999,80.0,76.9,-7.757
03-12-2025,04:36:08,1764732968.0749073,PPO,mid,2,4,noop,5,none,2839.93,40.55,68.24,34.0,95.574,TDP-calibrated,0.352,72.2,77.2,-10.073
03-12-2025,04:36:09,1764732969.7851286,PPO,mid,2,5,noop,10,mem_pressure,2496.68,96.77,98.0,28.43,200.529,TDP-calibrated,0.4,81.0,77.8,-12.925
03-12-2025,04:36:11,1764732971.3845394,PPO,mid,2,6,noop,10,cpu_spike,2048.45,99.0,98.0,52.64,168.321,TDP-calibrated,0.488,84.8,78.3,-15.291
03-12-2025,04:39:41,1764733181.1452932,PPO,mid,3,0,noop,1,disk_stall,3449.76,11.24,27.67,40.22,32.182,TDP-calibrated,0.29,75.0,78.0,-2.226
03-12-2025,04:39:42,1764733182.965019,PPO,mid,3,1,noop,1,mem_pressure,2253.63,23.53,60.01,88.55,44.022,TDP-calibrated,0.444,54.1,78.3,-3.841
03-12-2025,04:39:44,1764733184.5068355,PPO,mid,3,2,noop,1,none,1299.09,39.87,27.54,17.08,42.989,TDP-calibrated,0.769,81.0,78.4,-4.895
03-12-2025,04:39:46,1764733186.1508737,PPO,mid,3,3,noop,1,none,2019.21,24.3,32.62,55.08,40.719,TDP-calibrated,0.495,88.1,79.1,-6.351
03-12-2025,04:39:47,1764733187.931412,PPO,mid,3,4,noop,5,none,3158.31,74.99,72.31,35.13,196.579,TDP-calibrated,0.317,76.2,79.6,-9.559
03-12-2025,04:39:49,1764733189.637779,PPO,mid,3,5,noop,5,mem_pressure,2207.98,62.5,98.0,78.33,114.539,TDP-calibrated,0.453,78.4,80.0,-11.641
03-12-2025,04:39:51,1764733191.4031208,PPO,mid,3,6,noop,10,none,3538.35,95.11,98.0,34.28,279.308,TDP-calibrated,0.283,80.6,80.3,-15.648
03-12-2025,04:43:21,1764733401.682738,PPO,mid,4,0,noop,10,cpu_spike,1792.45,99.0,95.06,30.43,147.286,TDP-calibrated,0.558,72.1,79.9,-2.071
03-12-2025,04:43:23,1764733403.2327628,PPO,mid,4,1,noop,5,none,2960.88,61.38,66.46,31.22,150.854,TDP-calibrated,0.338,69.4,80.0,-4.844
03-12-2025,04:43:24,1764733404.6560795,PPO,mid,4,2,noop,10,none,1652.75,99.0,98.0,58.5,135.807,TDP-calibrated,0.605,64.9,79.9,-6.753
03-12-2025,04:43:26,1764733406.1974096,PPO,mid,4,3,noop,10,mem_pressure,3541.34,96.17,98.0,80.32,282.684,TDP-calibrated,0.282,76.2,80.0,-10.786
03-12-2025,04:43:27,1764733407.7248344,PPO,mid,4,4,noop,5,none,2712.27,68.58,42.91,19.57,154.394,TDP-calibrated,0.369,83.3,80.2,-13.44
03-12-2025,04:43:29,1764733409.311445,PPO,mid,4,5,noop,10,cpu_spike,1716.63,99.0,98.0,47.69,141.055,TDP-calibrated,0.582,86.5,81.0,-15.423
03-12-2025,04:43:31,1764733411.036161,PPO,mid,4,6,noop,10,none,1595.26,94.98,98.0,28.47,125.765,TDP-calibrated,0.626,83.3,81.2,-17.229
03-12-2025,04:47:01,1764733621.1172626,PPO,mid,5,0,noop,1,none,1340.36,24.73,17.11,32.59,27.509,TDP-calibrated,0.746,88.9,80.0,-0.97
03-12-2025,04:47:02,1764733622.488519,PPO,mid,5,1,noop,1,mem_pressure,2531.83,45.03,84.28,82.99,94.623,TDP-calibrated,0.395,83.3,79.9,-3.101
03-12-2025,04:47:03,1764733623.9451118,PPO,mid,5,2,noop,10,mem_pressure,2026.59,99.0,98.0,58.52,166.525,TDP-calibrated,0.493,72.2,80.1,-5.442
03-12-2025,04:47:05,1764733625.3577487,PPO,mid,5,3,noop,5,mem_pressure,1302.6,60.45,95.23,74.71,65.353,TDP-calibrated,0.767,69.0,80.2,-6.655
03-12-2025,04:47:06,1764733626.9256482,PPO,mid,5,4,noop,1,cpu_spike,987.57,72.81,23.84,87.18,59.677,TDP-calibrated,1.012,91.7,80.1,-7.646
03-12-2025,04:47:08,1764733628.4942718,PPO,mid,5,5,noop,10,cpu_spike,2595.2,99.0,83.89,46.93,213.248,TDP-calibrated,0.385,95.2,80.1,-10.644
03-12-2025,04:47:10,1764733630.1783466,PPO,mid,5,6,noop,5,none,2273.97,74.0,45.78,84.95,139.659,TDP-calibrated,0.44,83.3,80.9,-12.941
03-12-2025,04:50:40,1764733840.3893619,PPO,mid,6,0,noop,10,mem_pressure,3635.32,95.51,98.0,30.11,288.178,TDP-calibrated,0.275,73.8,77.3,-4.126
03-12-2025,04:50:41,1764733841.6798177,PPO,mid,6,1,noop,1,none,2455.48,29.24,28.24,73.83,59.591,TDP-calibrated,0.407,67.6,77.5,-5.967
03-12-2025,04:50:43,1764733843.0187612,PPO,mid,6,2,noop,5,none,2309.7,69.12,55.76,53.6,132.501,TDP-calibrated,0.433,72.2,77.6,-8.234
03-12-2025,04:50:43,1764733843.9689245,PPO,mid,6,3,noop,5,disk_stall,1389.71,64.46,70.18,89.45,74.349,TDP-calibrated,0.719,72.1,77.6,-9.56
03-12-2025,04:50:45,1764733845.5175142,PPO,mid,6,4,noop,5,none,1999.8,59.82,50.69,47.53,99.298,TDP-calibrated,0.5,88.1,79.1,-11.415
03-12-2025,04:50:47,1764733847.2480829,PPO,mid,6,5,noop,5,cpu_spike,1972.65,97.03,44.0,94.61,158.859,TDP-calibrated,0.507,71.4,79.1,-13.671
03-12-2025,04:50:49,1764733849.1012266,PPO,mid,6,6,noop,5,cpu_spike,3414.11,99.0,53.45,59.89,280.537,TDP-calibrated,0.293,69.4,79.9,-17.615
03-12-2025,04:54:19,1764734059.172401,PPO,mid,7,0,noop,10,cpu_spike,1418.93,99.0,87.04,20.94,116.594,TDP-calibrated,0.704,79.1,78.8,-1.639
03-12-2025,04:54:20,1764734060.5858812,PPO,mid,7,1,noop,1,mem_pressure,1687.31,20.72,56.58,29.45,29.022,TDP-calibrated,0.592,77.8,79.0,-2.821
03-12-2025,04:54:22,1764734062.022689,PPO,mid,7,2,noop,5,cpu_spike,3518.44,92.6,64.45,53.61,270.425,TDP-calibrated,0.284,91.7,79.1,-6.755
03-12-2025,04:54:23,1764734063.4755096,PPO,mid,7,3,noop,5,cpu_spike,3534.5,99.0,67.13,36.34,290.43,TDP-calibrated,0.283,88.9,79.2,-10.838
03-12-2025,04:54:24,1764734064.9983742,PPO,mid,7,4,noop,1,none,3687.7,10.0,36.68,18.58,30.603,TDP-calibrated,0.271,66.7,79.2,-13.191
03-12-2025,04:54:26,1764734066.7270498,PPO,mid,7,5,noop,1,none,1436.65,43.51,42.64,64.36,51.881,TDP-calibrated,0.696,83.3,79.7,-14.387
03-12-2025,04:54:28,1764734068.6225078,PPO,mid,7,6,noop,10,none,3423.56,99.0,95.78,96.0,281.314,TDP-calibrated,0.292,81.1,80.5,-18.342
03-12-2025,04:57:58,1764734278.7773554,PPO,mid,8,0,noop,5,none,1146.51,43.26,61.92,91.42,41.163,TDP-calibrated,0.871,75.0,79.8,-0.953
03-12-2025,04:58:00,1764734280.3871186,PPO,mid,8,1,noop,1,cpu_spike,1519.84,77.34,28.44,40.0,97.563,TDP-calibrated,0.658,63.9,79.9,-2.517
03-12-2025,04:58:01,1764734281.7920175,PPO,mid,8,2,noop,1,cpu_spike,3776.22,90.15,26.33,91.28,282.559,TDP-calibrated,0.265,63.9,80.0,-6.685
03-12-2025,04:58:03,1764734283.397452,PPO,mid,8,3,noop,1,none,2797.62,11.51,29.25,31.47,26.728,TDP-calibrated,0.357,73.0,80.1,-8.495
03-12-2025,04:58:05,1764734285.0211198,PPO,mid,8,4,noop,10,cpu_spike,1593.29,99.0,75.27,95.67,130.921,TDP-calibrated,0.627,78.6,80.0,-10.336
03-12-2025,04:58:06,1764734286.5925405,PPO,mid,8,5,noop,1,cpu_spike,3662.8,60.0,18.96,68.41,182.414,TDP-calibrated,0.273,75.0,80.7,-13.737
03-12-2025,04:58:08,1764734288.3837955,PPO,mid,8,6,noop,10,cpu_spike,3292.23,99.0,98.0,62.68,270.522,TDP-calibrated,0.304,80.6,81.3,-17.54
03-12-2025,05:01:38,1764734498.5334167,PPO,mid,9,0,noop,5,mem_pressure,1640.0,48.39,98.0,62.97,65.873,TDP-calibrated,0.609,78.6,79.9,-1.412
03-12-2025,05:01:39,1764734499.5480537,PPO,mid,9,1,noop,10,disk_stall,2707.04,99.0,88.06,63.75,222.437,TDP-calibrated,0.369,58.3,80.1,-4.539
03-12-2025,05:01:41,1764734501.2233052,PPO,mid,9,2,noop,10,mem_pressure,2571.24,95.99,98.0,89.74,204.863,TDP-calibrated,0.389,76.2,81.1,-7.464
03-12-2025,05:01:42,1764734502.695814,PPO,mid,9,3,noop,5,cpu_spike,2686.09,99.0,67.33,78.11,220.716,TDP-calibrated,0.372,79.5,81.2,-10.567
03-12-2025,05:01:44,1764734504.1454449,PPO,mid,9,4,noop,1,cpu_spike,1257.22,88.54,29.26,36.51,92.394,TDP-calibrated,0.795,78.6,81.8,-11.943
03-12-2025,05:01:45,1764734505.7415688,PPO,mid,9,5,noop,1,none,2915.36,33.39,32.5,29.44,80.787,TDP-calibrated,0.343,95.5,82.4,-14.199
03-12-2025,05:01:47,1764734507.5461075,PPO,mid,9,6,noop,10,none,1645.47,99.0,75.05,38.88,135.209,TDP-calibrated,0.607,72.2,82.7,-16.1
03-12-2025,05:05:17,1764734717.6943796,PPO,mid,10,0,noop,1,cpu_spike,1278.32,79.9,41.96,38.24,84.774,TDP-calibrated,0.782,83.7,79.7,-1.335
03-12-2025,05:05:18,1764734718.9646664,PPO,mid,10,1,noop,10,cpu_spike,2278.89,99.0,76.54,28.17,187.257,TDP-calibrated,0.439,73.0,79.8,-3.968
03-12-2025,05:05:20,1764734720.487199,PPO,mid,10,2,noop,1,cpu_spike,1495.61,65.28,36.84,34.91,81.03,TDP-calibrated,0.668,63.9,79.8,-5.403
03-12-2025,05:05:22,1764734722.0696154,PPO,mid,10,3,noop,10,mem_pressure,2890.35,85.65,98.0,61.59,205.485,TDP-calibrated,0.346,69.8,80.0,-8.518
03-12-2025,05:05:23,1764734723.7680016,PPO,mid,10,4,noop,10,cpu_spike,2848.04,99.0,81.57,55.98,234.023,TDP-calibrated,0.351,83.3,80.5,-11.808
03-12-2025,05:05:25,1764734725.5876713,PPO,mid,10,5,noop,1,none,1188.26,12.07,38.47,15.31,11.903,TDP-calibrated,0.841,86.0,81.1,-12.581
03-12-2025,05:05:27,1764734727.2740378,PPO,mid,10,6,noop,1,cpu_spike,2595.5,72.76,21.32,94.93,156.734,TDP-calibrated,0.385,86.0,81.2,-15.184
03-12-2025,05:08:57,1764734937.490123,PPO,mid,11,0,noop,5,mem_pressure,3279.75,67.13,97.96,63.0,182.749,TDP-calibrated,0.305,71.8,79.1,-3.181
