date_eu,time,timestamp,agent,phase,episode_index,step_in_episode,action_taken,request_mb,fault_type,latency_ms,cpu_percent,mem_percent,disk_percent,energy_joule,energy_method,energy_efficiency,host_cpu_percent,host_mem_percent,total_reward
07-12-2025,10:15:56,1765098956.5965855,SAC,early,0,0,noop,1,mem_pressure,1782.65,17.7,65.18,21.78,26.195,TDP-calibrated,0.561,83.3,52.5,-1.217
07-12-2025,10:15:56,1765098956.6982954,SAC,early,0,1,noop,1,mem_pressure,2531.48,25.82,81.52,28.83,54.257,TDP-calibrated,0.395,83.3,52.5,-3.065
07-12-2025,10:15:56,1765098956.7998877,SAC,early,0,2,noop,5,none,976.3,73.22,61.94,66.78,59.332,TDP-calibrated,1.023,83.3,52.5,-4.047
07-12-2025,10:15:56,1765098956.9015493,SAC,early,0,3,noop,1,cpu_spike,2546.72,71.14,24.6,93.66,150.377,TDP-calibrated,0.393,83.3,52.5,-6.577
07-12-2025,10:15:57,1765098957.0034065,SAC,early,0,4,noop,10,cpu_spike,3672.61,99.0,98.0,34.47,301.779,TDP-calibrated,0.272,83.3,52.5,-10.82
07-12-2025,10:15:57,1765098957.105113,SAC,early,0,5,noop,1,mem_pressure,2578.61,11.88,83.89,63.21,25.432,TDP-calibrated,0.388,83.3,52.5,-12.494
07-12-2025,10:15:57,1765098957.206947,SAC,early,0,6,noop,10,none,1349.22,91.24,98.0,54.0,102.179,TDP-calibrated,0.741,90.5,52.5,-13.992
07-12-2025,10:16:08,1765098968.0169868,SAC,early,1,0,noop,10,cpu_spike,2429.21,99.0,79.85,96.05,199.608,TDP-calibrated,0.411,83.3,52.5,-2.806
07-12-2025,10:16:08,1765098968.1187258,SAC,early,1,1,noop,10,disk_stall,3884.96,94.59,78.36,45.85,305.006,TDP-calibrated,0.257,86.1,52.5,-7.194
07-12-2025,10:16:08,1765098968.2205775,SAC,early,1,2,noop,5,none,951.24,59.92,44.86,77.21,47.312,TDP-calibrated,1.05,83.3,52.5,-8.077
07-12-2025,10:16:08,1765098968.3225965,SAC,early,1,3,noop,1,disk_stall,3694.19,14.03,36.29,95.48,43.01,TDP-calibrated,0.271,83.3,52.5,-10.521
07-12-2025,10:16:08,1765098968.424572,SAC,early,1,4,noop,1,none,1557.54,24.73,22.85,60.84,31.974,TDP-calibrated,0.642,83.3,52.5,-11.648
07-12-2025,10:16:08,1765098968.526537,SAC,early,1,5,noop,10,cpu_spike,3745.15,99.0,95.15,46.74,307.739,TDP-calibrated,0.267,83.8,52.5,-15.974
07-12-2025,10:16:08,1765098968.6283417,SAC,early,1,6,noop,10,cpu_spike,2554.64,99.0,75.63,62.08,209.915,TDP-calibrated,0.391,83.3,52.5,-18.925
07-12-2025,10:16:19,1765098979.4403028,SAC,early,2,0,noop,1,disk_stall,4827.94,40.05,21.49,56.28,160.5,TDP-calibrated,0.207,83.3,52.6,-3.924
07-12-2025,10:16:19,1765098979.5423787,SAC,early,2,1,noop,1,mem_pressure,3701.47,15.43,56.56,48.19,47.395,TDP-calibrated,0.27,83.3,52.6,-6.403
