date_eu,time,timestamp,agent,phase,episode_index,step_in_episode,action_taken,request_mb,fault_type,latency_ms,cpu_percent,mem_percent,disk_percent,energy_joule,energy_method,energy_efficiency,host_cpu_percent,host_mem_percent,total_reward
07-12-2025,14:34:39,1765114479.6103451,SAC,final,0,0,noop,1,mem_pressure,1782.65,17.7,65.18,21.78,26.195,TDP-calibrated,0.561,83.3,58.2,-1.217
07-12-2025,14:34:39,1765114479.7124338,SAC,final,0,1,noop,1,mem_pressure,2531.48,25.82,81.52,28.83,54.257,TDP-calibrated,0.395,83.3,58.2,-3.065
07-12-2025,14:34:39,1765114479.8140552,SAC,final,0,2,noop,5,none,976.3,73.22,61.94,66.78,59.332,TDP-calibrated,1.023,83.3,58.2,-4.047
07-12-2025,14:34:39,1765114479.9157865,SAC,final,0,3,noop,1,cpu_spike,2546.72,71.14,24.6,93.66,150.377,TDP-calibrated,0.393,83.3,58.2,-6.577
07-12-2025,14:34:40,1765114480.0177135,SAC,final,0,4,noop,10,cpu_spike,3672.61,99.0,98.0,34.47,301.779,TDP-calibrated,0.272,83.3,58.2,-10.82
07-12-2025,14:34:40,1765114480.1194816,SAC,final,0,5,noop,1,mem_pressure,2578.61,11.88,83.89,63.21,25.432,TDP-calibrated,0.388,83.3,58.2,-12.494
07-12-2025,14:34:40,1765114480.2211897,SAC,final,0,6,noop,10,none,1349.22,91.24,98.0,54.0,102.179,TDP-calibrated,0.741,88.4,58.2,-13.992
07-12-2025,14:34:51,1765114491.0333123,SAC,final,1,0,noop,10,cpu_spike,2429.21,99.0,79.85,96.05,199.608,TDP-calibrated,0.411,88.1,58.2,-2.806
07-12-2025,14:34:51,1765114491.1350777,SAC,final,1,1,noop,10,disk_stall,3884.96,94.59,78.36,45.85,305.006,TDP-calibrated,0.257,83.3,58.2,-7.194
07-12-2025,14:34:51,1765114491.236899,SAC,final,1,2,noop,5,none,951.24,59.92,44.86,77.21,47.312,TDP-calibrated,1.05,83.3,58.2,-8.077
07-12-2025,14:34:51,1765114491.3389432,SAC,final,1,3,noop,1,disk_stall,3694.19,14.03,36.29,95.48,43.01,TDP-calibrated,0.271,83.3,58.2,-10.521
07-12-2025,14:34:51,1765114491.4409614,SAC,final,1,4,noop,1,none,1557.54,24.73,22.85,60.84,31.974,TDP-calibrated,0.642,83.3,58.2,-11.648
07-12-2025,14:34:51,1765114491.5427868,SAC,final,1,5,noop,10,cpu_spike,3745.15,99.0,95.15,46.74,307.739,TDP-calibrated,0.267,83.3,58.2,-15.974
07-12-2025,14:34:51,1765114491.6445963,SAC,final,1,6,noop,10,cpu_spike,2554.64,99.0,75.63,62.08,209.915,TDP-calibrated,0.391,86.4,58.2,-18.925
07-12-2025,14:35:02,1765114502.455915,SAC,final,2,0,noop,1,disk_stall,4827.94,40.05,21.49,56.28,160.5,TDP-calibrated,0.207,83.3,58.2,-3.924
07-12-2025,14:35:02,1765114502.5576968,SAC,final,2,1,noop,1,mem_pressure,3701.47,15.43,56.56,48.19,47.395,TDP-calibrated,0.27,88.9,58.3,-6.403
07-12-2025,14:35:02,1765114502.6593976,SAC,final,2,2,noop,5,none,1388.73,65.8,66.0,71.26,75.842,TDP-calibrated,0.72,83.3,58.2,-7.739
07-12-2025,14:35:02,1765114502.7610428,SAC,final,2,3,noop,5,none,1004.84,74.37,59.88,61.09,62.029,TDP-calibrated,0.994,83.3,58.2,-8.756
07-12-2025,14:35:02,1765114502.8628492,SAC,final,2,4,noop,10,none,768.14,94.16,98.0,60.15,60.035,TDP-calibrated,1.3,83.3,58.2,-9.622
07-12-2025,14:35:02,1765114502.9646382,SAC,final,2,5,noop,1,disk_stall,2390.72,16.19,34.35,72.39,32.125,TDP-calibrated,0.418,83.3,58.2,-11.233
07-12-2025,14:35:03,1765114503.0663207,SAC,final,2,6,noop,1,none,1623.93,30.01,33.87,18.38,40.447,TDP-calibrated,0.615,85.7,58.2,-12.458
07-12-2025,14:35:13,1765114513.8782547,SAC,final,3,0,noop,1,mem_pressure,2136.06,32.33,64.42,56.53,57.323,TDP-calibrated,0.468,83.3,58.2,-1.64
07-12-2025,14:35:13,1765114513.979978,SAC,final,3,1,noop,1,none,1126.63,19.46,16.61,80.55,18.198,TDP-calibrated,0.887,83.3,58.2,-2.421
07-12-2025,14:35:14,1765114514.081822,SAC,final,3,2,noop,10,disk_stall,2625.36,92.91,96.17,62.68,202.447,TDP-calibrated,0.381,83.3,58.2,-5.361
07-12-2025,14:35:14,1765114514.1837256,SAC,final,3,3,noop,1,none,1567.78,42.04,32.87,85.94,54.707,TDP-calibrated,0.637,83.3,58.2,-6.653
07-12-2025,14:35:14,1765114514.2854102,SAC,final,3,4,noop,10,cpu_spike,3020.25,99.0,85.94,94.31,248.174,TDP-calibrated,0.331,83.3,58.2,-10.142
07-12-2025,14:35:14,1765114514.3871777,SAC,final,3,5,noop,1,mem_pressure,2150.57,18.48,59.58,81.31,32.992,TDP-calibrated,0.465,89.7,58.2,-11.62
07-12-2025,14:35:14,1765114514.4890208,SAC,final,3,6,noop,5,disk_stall,4318.5,72.83,49.6,28.81,261.039,TDP-calibrated,0.232,83.3,58.2,-15.952
07-12-2025,14:35:25,1765114525.2992535,SAC,final,4,0,noop,1,none,1273.52,18.67,37.76,15.14,19.735,TDP-calibrated,0.785,83.3,58.2,-0.877
07-12-2025,14:35:25,1765114525.4011264,SAC,final,4,1,noop,10,cpu_spike,4327.07,99.0,80.91,51.66,355.556,TDP-calibrated,0.231,83.3,58.2,-5.876
