date_eu,time,timestamp,agent,phase,episode_index,step_in_episode,action_taken,request_mb,fault_type,latency_ms,cpu_percent,mem_percent,disk_percent,energy_joule,energy_method,energy_efficiency,host_cpu_percent,host_mem_percent,total_reward
07-12-2025,12:10:55,1765105855.661864,SAC,mid,0,0,noop,1,mem_pressure,1782.65,17.7,65.18,21.78,26.195,TDP-calibrated,0.561,83.3,54.7,-1.217
07-12-2025,12:10:55,1765105855.7637913,SAC,mid,0,1,noop,1,mem_pressure,2531.48,25.82,81.52,28.83,54.257,TDP-calibrated,0.395,83.3,54.7,-3.065
07-12-2025,12:10:55,1765105855.8656366,SAC,mid,0,2,noop,5,none,976.3,73.22,61.94,66.78,59.332,TDP-calibrated,1.023,83.3,54.7,-4.047
07-12-2025,12:10:55,1765105855.967224,SAC,mid,0,3,noop,1,cpu_spike,2546.72,71.14,24.6,93.66,150.377,TDP-calibrated,0.393,83.3,54.7,-6.577
07-12-2025,12:10:56,1765105856.0693688,SAC,mid,0,4,noop,10,cpu_spike,3672.61,99.0,98.0,34.47,301.779,TDP-calibrated,0.272,83.3,54.7,-10.82
07-12-2025,12:10:56,1765105856.1711893,SAC,mid,0,5,noop,1,mem_pressure,2578.61,11.88,83.89,63.21,25.432,TDP-calibrated,0.388,83.8,54.7,-12.494
07-12-2025,12:10:56,1765105856.2731745,SAC,mid,0,6,noop,10,none,1349.22,91.24,98.0,54.0,102.179,TDP-calibrated,0.741,86.1,54.7,-13.992
07-12-2025,12:11:07,1765105867.0840743,SAC,mid,1,0,noop,10,cpu_spike,2429.21,99.0,79.85,96.05,199.608,TDP-calibrated,0.411,83.3,54.6,-2.806
07-12-2025,12:11:07,1765105867.1859295,SAC,mid,1,1,noop,10,disk_stall,3884.96,94.59,78.36,45.85,305.006,TDP-calibrated,0.257,83.3,54.6,-7.194
07-12-2025,12:11:07,1765105867.2877817,SAC,mid,1,2,noop,5,none,951.24,59.92,44.86,77.21,47.312,TDP-calibrated,1.05,83.3,54.6,-8.077
07-12-2025,12:11:07,1765105867.3896754,SAC,mid,1,3,noop,1,disk_stall,3694.19,14.03,36.29,95.48,43.01,TDP-calibrated,0.271,83.3,54.6,-10.521
07-12-2025,12:11:07,1765105867.491659,SAC,mid,1,4,noop,1,none,1557.54,24.73,22.85,60.84,31.974,TDP-calibrated,0.642,83.3,54.6,-11.648
07-12-2025,12:11:07,1765105867.5936296,SAC,mid,1,5,noop,10,cpu_spike,3745.15,99.0,95.15,46.74,307.739,TDP-calibrated,0.267,83.3,54.6,-15.974
07-12-2025,12:11:07,1765105867.6952283,SAC,mid,1,6,noop,10,cpu_spike,2554.64,99.0,75.63,62.08,209.915,TDP-calibrated,0.391,83.3,54.6,-18.925
