date_eu,time,timestamp,agent,phase,episode_index,step_in_episode,action_taken,request_mb,fault_type,latency_ms,cpu_percent,mem_percent,disk_percent,energy_joule,energy_method,energy_efficiency,host_cpu_percent,host_mem_percent,total_reward
07-12-2025,17:27:09,1765124829.503702,TD3,early,0,0,noop,1,mem_pressure,1782.65,17.7,65.18,21.78,26.195,TDP-calibrated,0.561,83.7,58.5,-1.217
07-12-2025,17:27:09,1765124829.6055694,TD3,early,0,1,noop,1,mem_pressure,2531.48,25.82,81.52,28.83,54.257,TDP-calibrated,0.395,83.3,58.5,-3.065
07-12-2025,17:27:09,1765124829.7072036,TD3,early,0,2,noop,5,none,976.3,73.22,61.94,66.78,59.332,TDP-calibrated,1.023,83.3,58.5,-4.047
07-12-2025,17:27:09,1765124829.808801,TD3,early,0,3,noop,1,cpu_spike,2546.72,71.14,24.6,93.66,150.377,TDP-calibrated,0.393,86.5,58.5,-6.577
07-12-2025,17:27:09,1765124829.9103878,TD3,early,0,4,noop,10,cpu_spike,3672.61,99.0,98.0,34.47,301.779,TDP-calibrated,0.272,83.3,58.5,-10.82
07-12-2025,17:27:10,1765124830.0119014,TD3,early,0,5,noop,1,mem_pressure,2578.61,11.88,83.89,63.21,25.432,TDP-calibrated,0.388,86.5,58.5,-12.494
07-12-2025,17:27:10,1765124830.113663,TD3,early,0,6,noop,10,none,1349.22,91.24,98.0,54.0,102.179,TDP-calibrated,0.741,83.3,58.5,-13.992
07-12-2025,17:27:20,1765124840.9243128,TD3,early,1,0,noop,10,cpu_spike,2429.21,99.0,79.85,96.05,199.608,TDP-calibrated,0.411,83.3,58.5,-2.806
07-12-2025,17:27:21,1765124841.026187,TD3,early,1,1,noop,10,disk_stall,3884.96,94.59,78.36,45.85,305.006,TDP-calibrated,0.257,83.3,58.5,-7.194
07-12-2025,17:27:21,1765124841.127975,TD3,early,1,2,noop,5,none,951.24,59.92,44.86,77.21,47.312,TDP-calibrated,1.05,83.3,58.5,-8.077
07-12-2025,17:27:21,1765124841.2296681,TD3,early,1,3,noop,1,disk_stall,3694.19,14.03,36.29,95.48,43.01,TDP-calibrated,0.271,83.3,58.5,-10.521
07-12-2025,17:27:21,1765124841.3312864,TD3,early,1,4,noop,1,none,1557.54,24.73,22.85,60.84,31.974,TDP-calibrated,0.642,83.3,58.5,-11.648
07-12-2025,17:27:21,1765124841.4330509,TD3,early,1,5,noop,10,cpu_spike,3745.15,99.0,95.15,46.74,307.739,TDP-calibrated,0.267,83.3,58.5,-15.974
07-12-2025,17:27:21,1765124841.5348012,TD3,early,1,6,noop,10,cpu_spike,2554.64,99.0,75.63,62.08,209.915,TDP-calibrated,0.391,85.7,58.5,-18.925
07-12-2025,17:27:32,1765124852.3457985,TD3,early,2,0,noop,1,disk_stall,4827.94,40.05,21.49,56.28,160.5,TDP-calibrated,0.207,85.7,58.5,-3.924
07-12-2025,17:27:32,1765124852.447452,TD3,early,2,1,noop,1,mem_pressure,3701.47,15.43,56.56,48.19,47.395,TDP-calibrated,0.27,83.8,58.5,-6.403
07-12-2025,17:27:32,1765124852.5494373,TD3,early,2,2,noop,5,none,1388.73,65.8,66.0,71.26,75.842,TDP-calibrated,0.72,86.0,58.5,-7.739
07-12-2025,17:27:32,1765124852.651226,TD3,early,2,3,noop,5,none,1004.84,74.37,59.88,61.09,62.029,TDP-calibrated,0.994,83.3,58.5,-8.756
07-12-2025,17:27:32,1765124852.7527225,TD3,early,2,4,noop,10,none,768.14,94.16,98.0,60.15,60.035,TDP-calibrated,1.3,83.3,58.5,-9.622
07-12-2025,17:27:32,1765124852.8543215,TD3,early,2,5,noop,1,disk_stall,2390.72,16.19,34.35,72.39,32.125,TDP-calibrated,0.418,83.3,58.5,-11.233
07-12-2025,17:27:32,1765124852.9562302,TD3,early,2,6,noop,1,none,1623.93,30.01,33.87,18.38,40.447,TDP-calibrated,0.615,83.7,58.5,-12.458
07-12-2025,17:27:43,1765124863.7691672,TD3,early,3,0,noop,1,mem_pressure,2136.06,32.33,64.42,56.53,57.323,TDP-calibrated,0.468,85.7,58.5,-1.64
07-12-2025,17:27:43,1765124863.8708527,TD3,early,3,1,noop,1,none,1126.63,19.46,16.61,80.55,18.198,TDP-calibrated,0.887,83.3,58.5,-2.421
