date_eu,time,timestamp,agent,phase,episode_index,step_in_episode,action_taken,request_mb,fault_type,latency_ms,cpu_percent,mem_percent,disk_percent,energy_joule,energy_method,energy_efficiency,host_cpu_percent,host_mem_percent,total_reward
07-12-2025,19:22:04,1765131724.3769412,TD3,mid,0,0,noop,1,mem_pressure,1782.65,17.7,65.18,21.78,26.195,TDP-calibrated,0.561,83.3,59.1,-1.217
07-12-2025,19:22:04,1765131724.4785588,TD3,mid,0,1,noop,1,mem_pressure,2531.48,25.82,81.52,28.83,54.257,TDP-calibrated,0.395,83.3,59.1,-3.065
07-12-2025,19:22:04,1765131724.5804744,TD3,mid,0,2,noop,5,none,976.3,73.22,61.94,66.78,59.332,TDP-calibrated,1.023,83.3,59.1,-4.047
07-12-2025,19:22:04,1765131724.6821928,TD3,mid,0,3,noop,1,cpu_spike,2546.72,71.14,24.6,93.66,150.377,TDP-calibrated,0.393,83.3,59.1,-6.577
07-12-2025,19:22:04,1765131724.783974,TD3,mid,0,4,noop,10,cpu_spike,3672.61,99.0,98.0,34.47,301.779,TDP-calibrated,0.272,83.3,59.1,-10.82
07-12-2025,19:22:04,1765131724.8856096,TD3,mid,0,5,noop,1,mem_pressure,2578.61,11.88,83.89,63.21,25.432,TDP-calibrated,0.388,88.9,59.1,-12.494
07-12-2025,19:22:04,1765131724.987115,TD3,mid,0,6,noop,10,none,1349.22,91.24,98.0,54.0,102.179,TDP-calibrated,0.741,83.3,59.1,-13.992
07-12-2025,19:22:15,1765131735.7994666,TD3,mid,1,0,noop,10,cpu_spike,2429.21,99.0,79.85,96.05,199.608,TDP-calibrated,0.411,83.3,59.1,-2.806
07-12-2025,19:22:15,1765131735.901028,TD3,mid,1,1,noop,10,disk_stall,3884.96,94.59,78.36,45.85,305.006,TDP-calibrated,0.257,83.3,59.1,-7.194
07-12-2025,19:22:16,1765131736.0029783,TD3,mid,1,2,noop,5,none,951.24,59.92,44.86,77.21,47.312,TDP-calibrated,1.05,85.7,59.1,-8.077
07-12-2025,19:22:16,1765131736.1044858,TD3,mid,1,3,noop,1,disk_stall,3694.19,14.03,36.29,95.48,43.01,TDP-calibrated,0.271,83.3,59.1,-10.521
07-12-2025,19:22:16,1765131736.2059753,TD3,mid,1,4,noop,1,none,1557.54,24.73,22.85,60.84,31.974,TDP-calibrated,0.642,83.3,59.1,-11.648
07-12-2025,19:22:16,1765131736.3076942,TD3,mid,1,5,noop,10,cpu_spike,3745.15,99.0,95.15,46.74,307.739,TDP-calibrated,0.267,83.3,59.1,-15.974
07-12-2025,19:22:16,1765131736.4092083,TD3,mid,1,6,noop,10,cpu_spike,2554.64,99.0,75.63,62.08,209.915,TDP-calibrated,0.391,83.3,59.1,-18.925
07-12-2025,19:22:27,1765131747.219054,TD3,mid,2,0,noop,1,disk_stall,4827.94,40.05,21.49,56.28,160.5,TDP-calibrated,0.207,85.7,59.1,-3.924
07-12-2025,19:22:27,1765131747.3206668,TD3,mid,2,1,noop,1,mem_pressure,3701.47,15.43,56.56,48.19,47.395,TDP-calibrated,0.27,83.3,59.1,-6.403
